name,count
concept,3
forget,2
indian tapas,3
manager,2
dish,6
attentive,3
friendly,10
paying,2
sitting,3
6,2
fan,3
small,2
enjoy,4
melt,2
waiting,2
indian,4
saturday night,4
great,9
spiced,2
experience,2
leaving,2
fantastic,4
love,3
brought,3
visit,5
creamy,2
recommend,4
sort,3
india,3
excellent,4
£3,2
work,2
worth,5
heart,2
prompt,4
sample,2
heard,2
times,2
butter chicken,4
lamb,5
naan bread,2
amazing,3
establishment,2
edinburgh,11
waitstaff,2
remember,2
crowded,2
tapas,5
takeaway,4
order,10
find,5
whilst,2
bunch,4
perfect,2
group,3
ordered 6 dishes,2
samosas,3
good,15
food,23
lunch,2
potatoes,3
didn,6
delightful,2
reasonable,2
found,2
meal,5
idea,6
mother india,15
spicy hot,2
city,3
quick,3
put,5
advance,2
poppadoms,2
service,11
waiter,3
thing,5
place,19
isn,2
delicious,9
wasn,3
bland,2
ordering,2
highly recommend,2
stuffed,2
white,2
5 people,2
hotel,2
forward,2
loved,2
kind,3
decided,2
couldn,3
head,2
spicy,4
dishes,24
price,2
indian food,7
don,6
great food,3
traditional,2
fact,3
atmosphere,3
selection,3
national museum,2
bring,3
good service,3
enjoyed,5
staff,3
busy,5
menu,6
stand,3
pretty,2
rice,6
means,2
bad,4
set,2
give,2
wow,3
quality,2
3,4
glasgow,4
recently,3
ordering lots,2
restaurant,8
share,7
asked,2
table,10
spiced haddock,2
informed,2
curries,2
lovely,2
indian cuisine,2
location,2
quick service,2
priced,2
prices,2
bill,3
order 2,2
choices,2
weren,2
ve,7
wouldn,2
starving,2
ready,2
make reservations,2
saag paneer,3
make,6
split,2
party,3
reservations,2
peshwari naan,3
person,3
baby aubergine,2
4,4
excited,2
aubergine,4
couple,3
round,2
world,2
bit,9
formal,2
server,2
night,3
works,2
making,2
people,6
naan,3
back,9
sauces,2
perfect amount,2
hot,2
curry,3
road,3
vegetarian dosa,2
weekend,2
long,2
window,2
lot,4
happy,3
chilli chicken dosa,3
offer,2
eat,5
made,2
flavour,2
problem,2
indian restaurant,3
ordered,6
love tapas,2
taste,2
doesn,2
tasty,7
cafe,5
good thing,3
tapas idea,2
variety,5
setting,2
nice,5
chicken dish,2
delicious food,2
favourite,3
felt,3
helpful,2
chance,3
reservation,2
friends,6
tapas style,8
walked,4
cooked,3
portion,2
time,9
fresh,3
