name,count
worth,3
drinking,2
list,2
friendly staff,2
haggis,2
enjoy,2
wait,2
experience,2
mars bars,2
music,2
flat,2
friendly,4
heard,2
sit,2
hot,2
kebabs,2
pizza,4
edinburgh,4
spot,2
times,3
ended,2
scots,2
happened,2
good,4
food,6
day,2
meat,2
found,2
cafe piccante,5
fish,3
special,2
open,3
pretty good,2
wanted,2
couldn,2
thing,2
place,8
delicious,2
wasn,3
2,2
friend,2
dancing,2
scotland,2
novelty visit,2
mouth,2
deep fried mars bars,2
don,3
staff,3
dj,3
batter,2
chips,7
bad,3
decided,2
chip shop,2
crispy,2
decent,2
beer,3
ve,5
things,3
piccante,2
mars bar,2
big,2
bit,3
disappointed,2
night,3
home,2
disco chippy,3
road,2
fried mars bars,2
head,2
ordered,3
deep fried mars bar,4
taste,2
life,2
deep,2
tasty,2
friends,2
chippy,3
time,3
