name,count
concern,2
starter,2
pay,2
presentation,2
worth,2
past,2
soup,2
full,3
wait,2
friendly,2
amount,2
explained,2
visit,2
excellent,2
glad,2
town,2
beautiful,3
share,3
edinburgh,6
perfect,3
tollcross area,2
main,4
good,4
food,8
didn,3
found,4
meal,4
delicious,4
expect,2
7,2
issue,2
times,2
thing,2
place,6
angelic,2
feel,3
quality,2
city,2
service,5
friend,5
shell,2
king prawns,2
thai,4
kind,2
coats,2
feeling,2
pre,3
angel,2
outstanding,2
dishes,2
walk,2
don,4
find,2
staff,2
nice,2
menu,6
starters,2
rice,3
means,3
thai restaurant,3
grab,2
restaurants,2
decided,2
noodles,2
review,2
restaurant,2
ll,2
portion sizes,3
yak,2
expected,2
priced,2
pricey,2
prices,3
attentive,4
passorn,5
ve,2
partner,2
make,2
moment,2
chicken stir fry,2
tom yum,2
bit,2
disappointed,2
served,3
people,2
date night,2
back,3
owner/manager,2
business,2
side,2
curry,2
lovely,2
head,2
made,2
portions,3
ordered,5
book,2
friends,2
walked,2
cooked,2
thai food,4
time,2
fresh,2
