name,count
holyrood,2
worth,3
bacon,6
street,2
men,2
saturday night,2
9a,2
music,3
recommend,5
glass,2
£8,2
excellent,3
work,5
give,4
end,3
place,20
chilled,2
order,4
wine,2
owned,3
sticky toffee pudding,2
side,2
washed,2
standard,2
wanted,2
loud,2
delicious,5
wasn,3
service,8
top,2
needed,3
feeling,2
filmhouse,2
plenty,4
don,4
busy,5
menu,9
personality,2
bar,10
red squirrel,23
lovely food,2
terms,2
american diner,2
asked,3
beef,3
beer,10
weren,2
bottles,2
things,4
make,4
plates,2
pubs,3
burgers,13
board,2
gave,2
50,4
night,3
dinner,5
people,5
head,2
offer,4
check,2
time,9
wee bit,2
handy location,2
loads,2
beer selection,3
drinks,6
wait,2
love,3
sweet potato fries,5
visit,5
creamy,2
beers,6
great place,4
awesome,3
pint,4
fresh chillies,2
southern,5
mac,2
blue moon,3
years,2
ended,3
amazing,6
spacious,3
lunch,2
half,2
didn,7
realise,2
yeah,3
honest,2
cheese,3
long,3
size,2
bite,3
friend,3
pre,2
turned,2
breakfast,5
interior,3
price,3
complaints,2
hungry,2
managing,2
discovered,3
corner,2
black,2
usher hall,4
3,2
hmv picture house,2
middle,2
evening,2
week,2
dipped,2
world,3
served,3
meal,2
decent,2
area,4
aren,4
stars,2
taste,4
tasty,5
stumbled,2
wifi,2
fan,2
list,2
burger,14
opted,2
hasn,2
full,3
pleasant,2
glad,2
town,2
coming,2
short,2
halloumi burger,2
wouldn,3
good,12
food,23
courses,3
found,2
fish,2
hard,2
alcohol,2
granola,2
friday,2
pub,3
reason,3
put,3
gig,3
owners,2
feel,2
passed,2
part,2
kind,4
nice place,2
clean,3
fine,3
find,2
pretty,3
sour cream,2
bars,5
close,4
visiting,4
won,2
missing,3
great selection,4
squirrel,2
prices,2
solid,2
decor,2
moment,2
holyrood 9a bars,3
tables,2
big,4
couple,5
bit,10
highly recommend,2
back,13
holyrood 9a,10
decent selection,2
forward,2
fries,4
ordered,3
doesn,2
£13,2
£10,6
nice,7
favourite,2
friendly,9
folk,3
meet,4
great,7
standing,2
popped,2
tap,7
onions,2
tomato,2
light,3
30 minutes,2
soggy,2
perfect,5
ll,5
choose,3
covered,2
front,3
day,3
mushrooms,3
edinburgh,10
bad,6
good atmosphere,3
times,6
quality,2
lot,5
haven,3
neck,2
bother,2
visited,2
dishes,2
mid,2
mix,2
looked,2
fact,2
atmosphere,6
pleased,2
staff,8
perfect place,2
hope,2
chips,3
grab,2
packed,2
tend,3
taking,2
table,4
ve,12
drink,9
thought,3
generous,2
helpful,4
works,3
home,2
avoid,2
lothian road,7
friends,7
noticed,2
reminds,2
bun,3
eat,7
places,5
veggie burgers,2
problem,2
variety,2
