name,count
silver bowl,4
worth,2
pork,2
opted,2
pad thai,2
great,2
fantastic,2
give,2
huge,2
edinburgh,2
prawns,4
order,5
years,2
good,3
food,4
day,3
found,3
meal,2
year,2
chicken pad thai,2
couldn,3
times,2
ring,2
open,3
ordering,2
friend,2
thai,3
dishes,2
chicken,2
find,3
decided,4
packed,2
prawn pad thai,2
lots,2
won,2
closed,2
quickly,2
threw,2
ve,2
make,3
arrived,3
aways,2
money,2
tom yum,2
big,2
bit,2
night,2
people,2
back,2
home,3
happy,2
delivery,3
flavour,2
called,2
ordered,5
tasty,4
felt,2
time,6
fresh,3
