name,count
worth,3
main courses,2
enjoy,2
told,3
fantastic,3
music,2
recommend,3
glass,3
excellent,2
bartender,3
work,2
chicken burger,2
give,7
returned,3
amazing,6
yum,2
wrong,3
lot,3
waitress,3
order,8
coffee,2
broughton street,7
meal,5
turning,2
barmaids,2
wanted,2
ate,3
days,2
heading,2
loud,4
downside,2
delicious,11
wasn,5
service,20
spinach,2
needed,4
serve,2
feeling,2
mind,4
ginger,2
recommended,2
don,12
enjoyed,5
toast,3
busy,10
layout,2
menu,9
plate,2
bar,14
nicely,2
bad,3
headed,3
decided,3
noodles,5
unable,2
kitchen,2
pity,2
asked,5
beef,2
lovely,3
weren,3
voice,2
shame,2
make,8
burgers,7
left,2
scottish breakfast,2
beef burger,2
spread,2
5 stars,3
gave,2
unique,2
night,6
crowd,2
people,3
50,2
afternoon,2
call,3
happy,3
hear,3
flavour,3
verging,2
check,3
interested,2
felt,5
weekend,8
longer,3
superfood salad,2
reviewers,2
quick bite,2
finally,2
word,2
cool,5
presented,2
friendly staff,2
quick,2
loads,2
dip,2
seasoning,2
run,2
chicken,3
drinks,15
shared,2
water,2
wait,3
box,2
love,9
sweet potato fries,4
working,2
visit,5
beers,3
great place,2
reviews,3
hope,3
arrive,3
heart,3
awesome,3
sample,2
dinner,4
edinburgh,12
cocktail,4
cute,3
serving,2
3 stars,2
cold,3
chips,7
lunch,12
aioli,2
couldn,3
funky,3
place,23
cheese,2
city,3
friend,5
appreciated,2
10,2
coconut,2
lick,2
tasted,4
breakfast,3
noodle dishes,2
wanting,2
hungry,2
show,3
slow,7
5 minutes,2
cocktails,11
review,5
affordable,2
pot,2
attentive,4
absolutely delicious,2
week,3
wall,2
extensive,5
starving,2
read,3
world,2
disappointed,6
laughing,2
served,3
pickles,2
throw,2
side,4
strip,2
low,2
stars,3
taste,5
tasty,11
modern bar,2
time,10
pear,3
eggs benedict,2
tv,3
tea,5
burger,8
opted,2
full,5
experience,5
sofas,2
chunky,2
coconut chicken,2
town,3
hour,2
joints,2
sense,2
charged,2
huge,3
menus,2
sandwich,2
good vibe,2
egg,2
margarita,3
wouldn,2
good,20
return,3
food,28
walls,3
staples,2
hard,2
idea,2
7,2
issue,2
forgive,2
pub,2
mmm,2
put,5
expecting,2
top,6
feel,5
comfy,2
hotel,2
part,2
pleasant place,2
kind,2
sweet potato,3
treated,2
scotland,2
added,2
eaten,3
nice place,4
find,5
pretty,2
bars,2
close,3
wow,2
sold,3
great selection,2
restaurant,3
barely,2
likes,2
priced,2
bar staff,4
pricey,3
understand,2
pleasantly surprised,5
bill,5
fun,2
ready,2
decor,2
tables,2
treacle,27
big,3
great bar,2
bit,13
lost,2
highly recommend,3
back,13
trendy,4
good selection,2
eating,3
spinach pie,2
hand cut,2
book ahead,2
impressed,2
long,3
barman,2
called,2
ordered,5
doesn,3
cocktail list,4
visited treacle,2
nice,8
cooked,2
saturday night,2
fresh,5
good food,2
desserts,2
friendly,14
drinking,2
picked,2
giving,2
great,8
makes,3
gastro,3
starter,2
salad,2
meet,3
high,2
sip,2
sit,2
prawns,2
salivating,2
whilst,3
perfect,2
ll,6
choose,2
menu isn,2
day,6
drinks menu,2
max,2
shut,2
times,10
counterpart,2
margaritas,2
quality,2
sadly,2
visited,2
violet mule,2
comfortable,2
dishes,3
mid,3
patchy,3
looked,4
fact,2
atmosphere,3
30pm,2
staff,12
hadn,3
made,8
crispy coconut chicken,2
grab,2
packed,4
super friendly,3
agree,2
top notch,2
table,12
decent,3
sweet potato chips,2
pie,2
finished,5
brunch,3
couple,3
ve,15
waitresses,2
member,3
drink,4
thought,6
gastropub,2
point,6
pies,3
crisp,2
sofa,3
didn,6
sunday afternoon,2
home,5
crispy,2
friday night,2
noisy,2
cocktail menu,6
chatting,2
bun,2
eat,5
george street,2
places,3
ingredients,3
conclusion,2
star,3
friends,5
