name,count
limited,2
starter,3
friendly,3
pakoras,2
leave,2
enjoy,2
nau korma,2
sign,2
indian,2
shared,2
water,2
great,2
experience,2
spices,3
love,2
visit,2
glad,3
give,4
end,3
edinburgh,2
remember,2
ann purna,3
things,2
order,2
oven,2
meat options,2
good,5
food,9
meat,4
didn,4
found,2
side,2
expect,3
poppadoms,4
couldn,2
waiter,2
british,2
honest,2
vegetables,2
delicious,2
wasn,3
service,6
top,2
friend,2
dishes,3
recommended,2
price,2
indian food,2
don,2
fact,2
menu,2
rice,3
flavour,2
won,4
restaurant,6
asked,2
comment,2
case,2
bill,3
vegetarian,3
ve,2
plates,2
arrived,4
charged,2
surprised,2
aubergine,2
read,2
judge,2
bahar,2
night,4
served,3
vegetarian friend,2
thali,2
paid,2
meal,5
lot,2
jug,2
eat,2
aloo gobi,2
meat dishes,2
ordered,3
star,2
included,2
chutneys,2
time,4
