name,count
flat white,2
worth,6
deli,3
haggis,2
enjoy,7
bacon,3
jams,3
items,2
employees,2
settled,2
fantastic,4
recommend,6
warm,4
excellent,6
£5,2
word,2
give,4
honey,4
end,3
gluten free,2
amazing,11
place,34
wrong,2
nice selection,2
things,2
order,8
satisfied,3
coffee,20
lunch items,2
bread,10
meat,3
filling,3
reasonable,2
side,2
forgot,2
quality,7
heavenly,2
isn,6
good quality,3
delicious,18
wasn,2
é,3
service,16
top,3
needed,4
fruit compote,2
ü,2
serve,2
ran,2
pass,2
mind,2
wholesome,2
don,11
annoyed,2
enjoyed,7
toast,12
busy,4
quaint,2
menu,7
stop,5
chutney,4
bad,2
told,2
decided,6
lovely food,2
lots,3
fault,4
cute place,2
asked,6
beer,2
expected,3
lovely,8
oatcakes,2
friendly atmosphere,2
make,9
patient,2
greeted,2
pubs,2
butter,2
seasonal,2
ham,3
easy,2
5 stars,2
unique,2
people,7
quirky,2
happy,2
offer,3
portions,2
full,3
inside,3
trip,2
topped,2
felt,3
time,13
local ingredients,2
brownie,3
choice,2
leave,2
round,2
full scottish breakfast,2
eating,5
edinburgh larder,19
full breakfast,5
filled,6
wait,3
healthy,3
french toast,3
love,10
visit,8
creamy,3
afford,2
great place,4
reviews,2
soup,8
making,3
pumpkin,2
ham sandwich,2
awesome,2
sample,2
dinner,2
afternoon,2
edinburgh,22
spot,5
produce,2
date,2
guys,3
man,2
cute,6
ended,3
interesting,2
tucked,3
high standard,2
lunch,20
didn,9
salads,8
space,2
couldn,3
waiter,3
yum,2
cheese,5
long,2
stuffed,2
friend,9
larder,6
future,2
tasted,2
turned,2
breakfast,14
price,2
sale,2
salt,3
good service,2
texture,2
flavour,2
morning,4
seat,3
friend ordered,2
farmers,2
review,2
cafes,3
pot,3
pop,2
scrambled eggs,7
attentive,2
everyday,2
pay,2
check,2
week,2
cheery,2
locally sourced,2
amazed,2
knowledgeable,2
rest,5
flavor,2
thinking,2
artisan roast,3
coming back,2
world,2
disappointed,3
server,3
served,3
leek soup,2
pickles,2
slice,4
meal,8
area,2
offer soup,2
taste,5
clotted cream,7
tasty,7
cream,2
stumbled,2
5,3
fresh,13
wife,5
oat cakes,2
1/2 sandwich,2
returning,2
fab,2
small,8
tea,10
cheeses,2
opted,2
experience,5
amount,2
pick,2
options,2
thankfully,2
door,2
town,11
prompt,2
share,2
delicious local produce,2
salty,2
simple,3
sandwich,12
crowded,2
egg,3
break fast,2
wouldn,3
good,25
return,7
food,26
stopped,5
found,6
biscuits,2
house,2
fish,2
hard,5
expect,3
reason,3
put,3
vegetarian haggis,2
feel,5
cups,2
miss,2
guess,2
wonderful,3
luckily,2
part,3
kind,5
people waiting,2
scotland,7
sandwiches,4
added,2
eggs,6
salmon,7
cosy,3
eaten,2
veggie breakfast,4
clean,3
find,5
pretty,3
money,3
traditional scottish breakfast,2
hit,2
nice food,2
restaurants,2
set,2
locals,5
visiting,2
recently,2
attention,2
restaurant,3
cakes,3
point,2
sweet,2
simply,2
expensive,2
empty,2
lived,2
understand,2
decor,2
arrived,2
cup,4
recommended,2
location,2
bit,6
highly recommend,6
back,17
porridge,2
beans,3
staff couldn,2
homemade,4
forward,2
blackfriars st,2
customers,3
soups,2
ordered,6
cafe,8
display case,2
nice,8
meaning,2
walked,2
cooked,2
chutneys,4
enjoyable,2
friendly,16
dessert,2
royal mile,15
picked,3
black pudding,3
sausage,2
cozy,4
great,13
products,2
eat breakfast,2
fed,2
homemade jam,2
started,2
charming,2
salad,3
high,2
baked egg,3
soggy,3
perfect,3
ll,5
choose,2
hands,2
day,9
veggie haggis,3
staying,3
barley,2
pretty good,3
organic,3
times,3
waitress,3
perfectly,2
tourists,5
tomato,2
lot,4
haven,2
loved,9
visited,3
scone,8
looked,2
fact,2
chicken,6
pleased,2
staff,22
jam,9
local,4
hope,2
perfection,2
smoked salmon,4
years,2
stuff,2
grab,2
packed,4
great food,4
super friendly,2
superb,4
wall,2
table,4
welcoming,3
unlike,2
choices,2
good place,2
ve,10
partner,2
thought,4
sourced,3
lunch time,2
add,2
checking,2
immediately,2
helpful,2
soft,2
home,7
scones,2
coke,2
eat,9
made,15
yelp,8
places,3
cake,2
ingredients,5
stay,3
friends,5
