name,count
chinese,3
dish,2
friendly,2
main courses,2
find,2
full,2
crispy duck,2
visit,2
99,3
£6,2
edinburgh,2
rude,2
good,4
food,5
complain,2
meat,2
meal,3
buffet,2
expect,2
ate,2
thing,2
place,5
isn,3
tidy,2
dishes,3
ideal,2
plenty,2
don,2
soups,2
selection,2
chicken,2
staff,5
starters,2
jimmy chung,4
plate,3
chips,2
chinese food,3
won,2
restaurant,5
sweet,2
table,2
priced,2
make,2
plates,4
finish,2
money,2
aren,2
eat,4
made,2
black bean sauce,2
fill,4
tin,2
nice,2
time,2
