name,count
managed,2
chinese,2
dish,3
mains,2
kim chee,2
enjoyable,2
small,2
pork,6
eating,2
find,2
waiting,2
shilla,4
saturday night,2
experience,2
love,2
call,2
sort,2
excuse,2
starter,2
arrive,2
onions,2
1,2
end,2
ordered separately,2
chopsticks,2
pay,2
order,5
mentioned,2
ll,3
sauce,2
good,10
food,7
front,2
didn,4
side,3
reason,2
wanted,3
waiter,2
street level,2
place,6
south,2
wasn,2
service,7
spinach,2
friend,2
luckily,2
stairs,3
supposed,2
dishes,4
check,2
scotland,4
korean,3
korean restaurants,4
don,2
great korean food,2
seafood,2
show,2
enjoyed,3
staff,3
menu,4
rice,4
hope,3
basement,2
bad,3
fair,2
review,3
won,2
glasgow,2
korea,2
korean food,3
restaurant,4
simple,2
sweet,2
table,4
bean sprouts,2
finished,2
worked,2
attentive,3
tastes,2
ve,6
squid,2
things,2
kim,2
thought,3
left,2
bit,7
generous,2
dundas street,2
struck,2
korean restaurant,3
served,2
edinburgh,8
back,5
proper,2
home,2
10 minutes,2
found,3
meal,6
dinner,3
tofu,3
clams,2
noticed,2
stars,3
happy,2
hoped,2
bul,2
true,2
eat,2
made,3
portions,2
soju,2
ki,2
sam bul,2
ordered,5
taste,4
banchan,2
nice,4
fairly extensive,2
decorated,3
walked,2
cooked,2
time,5
fresh,2
