name,count
lack,3
dish,5
laksa,2
glad,2
jurgen,2
round,2
enjoy,2
malaysian spicy fish,2
full,7
understanding,2
dry,2
boy,2
great,3
kampong ah lee,7
thankfully,3
visit,5
live,2
recommend,4
give,3
bones,2
times,4
place,10
establishment,3
edinburgh,8
authentic,2
remember,2
light,2
prawns,2
honestly,2
takeaway,2
order,4
cold,2
ll,4
sauce,3
wouldn,2
good,4
food,8
tasty stuff,2
meat,2
didn,4
reasonable,2
fish,3
idea,2
love,3
advance,2
ate,3
yum,2
newington,2
feel,2
delicious,6
city,2
service,3
ordering,2
2,3
friend,2
kind,2
eats,2
tastes,2
curry dipping sauce,2
dishes,5
note,2
price,2
mouth,2
curry laksa,2
don,3
fact,3
selection,2
discovered,2
chicken,2
fine,2
find,3
staff,3
malaysian food,4
menu,9
pretty,2
rice,4
lucky,2
gem,2
coconut rice,4
enjoyed,2
decided,2
noodles,2
won,3
joe,2
restaurant,3
sweet,2
table,5
expensive,2
west,2
tiny,2
roti canai,2
prices,3
roti cenai,2
ve,4
make,2
taste,2
realised,2
touch,2
opt,2
aubergine,3
read,2
couple,2
bit,3
disappointed,2
deeeelightful,2
night,5
popular,2
served,2
back,2
mine,2
roti,4
eating,2
start,3
lot,4
happy,3
head,2
spicy,3
eat,4
catriona,2
made,4
flavour,2
places,2
inside,3
ordered,2
year,2
doesn,2
tasty,2
nice,3
kampong,2
wife,2
time,6
fresh,2
