name,count
friendly,4
gnocchi,2
wasn,3
great,4
family,2
keeping,2
worth,2
give,2
dinner,2
amazing,3
edinburgh,4
remember,2
things,2
years,2
whilst,2
good,7
food,7
risotto,4
reasonable,2
hard,2
expect,2
ice cream,5
thing,3
place,4
isn,2
delicious,2
quality,2
service,6
friend,3
seated,2
tasted,2
mind,2
plenty,2
don,3
fine,2
staff,5
busy,2
menu,2
pasta dish,2
rush,2
ciao roma,4
notice,2
kitchen,2
restaurant,6
table,2
lovely,2
prices,2
ve,3
make,4
thought,3
money,2
helpful,2
italian,2
people,2
felt,2
pasta,3
range,2
son,2
lot,3
happy,3
offer,2
problem,2
ordered,3
tasty,2
italian restaurants,2
pizzas,4
time,3
