name,count
worth,5
enjoy,2
perfectly cooked,2
fantastic,2
music,2
recommend,3
crispy crab ball,2
type,2
warm,2
excellent,3
£5,3
95,6
work,2
give,2
small side,2
end,4
earlier,2
order,2
wine,3
avocado,2
meat,3
reasonable,3
side,3
lovely staff,2
standard,3
wanted,3
arrived,2
delicious,7
wasn,2
service,9
top,4
serve,2
mind,3
talking,2
recommended,2
don,6
enjoyed,5
busy,2
menu,11
rich,3
plate,6
resist,2
decided,2
oomph,2
kitchen,2
fault,2
asked,2
tasted,4
beetroot,2
quickly,2
website,3
worked,2
make,8
seasonal,2
yep,2
bit,4
easy,3
5 stars,4
brought,4
50,3
night,4
people,3
booking,4
dinner,7
slightly,2
chocolate fondant,2
happy,2
offer,3
flavour,4
looked,3
felt,4
fell,2
time,5
team,2
pork,3
regret,2
cosy,4
shared,5
change,3
wait,3
love,4
visit,5
creamy,2
reviews,2
soup,2
incredible,2
edinburgh,15
small restaurant,2
birthday,2
peanut butter ice cream,2
man,2
celeriac chips & spiced apple,2
talk,2
cute,2
baked avocado,3
ended,2
interesting,2
amazing,7
window,2
main,8
didn,5
needn,2
worried,2
ice cream,2
great wine list,2
chose,3
couldn,5
place,10
cheese,2
rachel,2
bite,3
friend,7
pre,5
theatre,2
price,3
mains,4
texture,2
review,2
3,3
quiet,2
chorizo,3
cared,2
grilled pak choi,2
worry,2
finish,5
delicate,2
bottle,3
money,2
£11,3
4,2
smoked duck breast,2
spectacular,2
served,2
divine,4
chunky chips,2
intimate,2
meal,11
stand,2
start,6
stars,2
beetroot cured salmon,2
taste,4
tasty,3
field,14
5,5
booked,2
dish,8
sitting,2
small,10
opted,2
scallops,2
full,2
reason,4
experience,2
6,2
door,2
glad,4
town,2
beautiful,2
share,2
menus,2
short,2
chocolate sorbet,2
wouldn,3
good,17
food,12
easily,2
courses,4
week,4
house,2
fish,2
reasonable price,2
put,4
feel,4
part,2
ages,4
scotland,2
salmon,2
eaten,5
extremely,2
great meal,2
find,2
starters,3
restaurants,2
set,4
flavours,3
tender,3
wow,2
restaurant,13
point,2
simple,6
sweet,3
boy,3
priced,4
wild mushroom samosa,3
prices,3
£20,2
tables,2
friday night,2
excited,3
lacking,2
couple,2
absolutely,2
back,8
eating,2
delish,2
impressed,3
question,2
hoped,2
fine dining,2
ordered,5
doesn,2
£14,2
nice,6
favourite,2
meaning,2
theatre deal,2
meals,2
cooked,4
fresh,4
good food,2
ambience,2
friendly,5
dessert,10
odd,2
crispy skin,3
great,9
delicious meal,2
manage,3
duck,3
viognier,2
starter,9
high,2
stop,2
light,4
honestly,2
hake,3
celeriac remoulade,2
perfect,6
ll,6
choose,2
day,3
wines,3
pudding,3
locally sourced ingredients,2
quality,3
lot,3
loved,4
comfortable,2
pork belly,5
dishes,6
fact,3
atmosphere,2
selection,2
bring,2
chicken,7
staff,7
la carte menu,3
local,2
made,5
perfection,2
chips,3
generous portion,3
opening,2
wall,2
table,10
jenny,2
seasoned,3
finished,2
choices,3
ve,8
thought,4
firstly,2
add,2
helpful,2
home,2
blythe,2
flaky,2
equally,2
eat,5
lovely,6
places,3
smooth,2
problem,2
ingredients,2
book,2
chorizo burger,2
friends,2
