name,count
kyloe,2
yummy,3
friendly,4
haggis,3
quick,2
steaks,3
drinks,2
mussels,3
great,5
experience,2
brought,2
wanted,2
recommend,2
corrected,2
starter,2
salad,2
soup,3
edinburgh,2
sandwich,2
lot,3
gehört,2
order,3
wine,3
window,2
main,2
sauce,3
good,5
food,4
lunch,2
half,2
bread,2
didn,4
found,2
meal,2
fish,2
greeted,2
waiter,2
days,2
conversation,2
place,6
waitress,2
good quality,2
delicious,6
wasn,4
service,8
stairs,2
upstairs area,2
coleslaw,2
grilled tomato,2
bottle,4
price,2
don,2
left,3
serving,2
find,3
staff,3
menu,5
pretty,2
das frühstück war lecker,2
chips,4
steak,4
husband,2
enjoyed,2
closed,2
restaurant,3
full bottle,2
asked,2
table,4
expected,3
lovely,3
catch,2
bill,2
ordered burgers,2
onion rings,3
taking,2
ve,3
quiet,2
personal freundlich und hilfsbereit,2
arrived,2
seadogs,3
scotland,2
da sollte man ruhig mal vorbeischauen,2
tables,3
itison voucher,2
big,3
couple,2
bit,2
server,2
full scottisch,2
served,3
back,6
liking,2
friday night,2
rare,2
preise moderat,2
hot,2
dinner,2
auf ein,2
noticed,2
made,2
fries,2
ordered,6
taste,3
tasty,3
alles drauf,2
rosehip,9
nice,5
felt,2
cooked,2
time,4
fresh,3
