name,count
awful,2
staff,2
great,2
queue,2
hoping,3
pretty average,2
door,2
rubbish,2
town,3
work,2
confused,2
italian restaurant,2
sit,3
pizza,6
guys,2
order,4
group,2
late,3
wouldn,2
good,3
food,9
kebabs,2
turns,2
open,3
pizzeria,2
grease,2
greasy,2
thing,2
place,9
quality,2
service,2
friend,2
2am,2
bouncer,2
plenty,2
cheap,3
find,2
menu,4
chips,2
bad,2
decided,3
horrible,2
restaurant,4
barely,2
italian food,2
left,2
pizza paradise,4
lost,2
night,7
back,5
avoid,2
area,2
people,3
don,2
eat,5
dangerous,2
minutes,2
ordered,2
time,6
pizzas,3
home,3
fact,3
