name,count
limited,2
long time,2
yummy,2
ambience,2
friendly,2
waiters,2
decide,2
voucher,3
chose,3
boy,4
great,2
visit,3
door,3
warm,2
starter,2
langoustines,3
arrive,2
share,2
times,2
lamb,2
visited,2
iggs,6
coming,2
iggy,2
tapas,4
pay,2
wine,4
ll,2
main,2
good,5
food,7
bread,3
didn,4
found,2
side,2
wanted,2
ate,3
thing,2
place,5
waitress,2
cheese,2
feel,2
wasn,4
quality,3
service,4
festival,2
part,2
kind,2
turned,2
close,2
dishes,3
ideal,2
price,2
cooked perfectly,2
find,2
staff,2
hadn,2
menu,5
explain,2
house wine,2
pretty,2
preferred,2
iggs & barioja,2
restaurants,2
lots,3
arrival,2
restaurant,4
barioja,8
simply,2
olives,2
lovely,2
spain,2
bill,3
tasty,2
happened,2
ve,5
disappointing,2
evening,2
decor,2
things,2
make,2
hand,2
arrived,2
spent,2
bottle,3
mother,2
half,2
day,2
bit,3
disappointed,4
formal,2
night,3
served,2
dinner,2
noticed,2
start,2
lot,2
tapas bar,2
2 courses,2
nice,8
fact,2
time,4
