name,count
leith,2
friendly,2
enjoy,2
wait,2
love,3
thankfully,2
brought,2
visit,3
vodka,2
end,2
edinburgh,2
mithas,3
perfect,2
ll,2
good,2
food,6
didn,4
meal,2
entering,2
average indian,2
place,2
quality,2
service,5
top,2
dishes,2
indian food,3
tasting menu,2
mains,2
staff,2
hadn,2
menu,3
starters,2
watermelon,2
set,2
cocktails,5
dark work,2
restaurant,4
4,2
ve,6
pay,2
make,2
pomegranate,3
drink,3
5 stars,2
back,2
night,3
cocktail bar,2
spice,2
made,3
ordered,2
taste,2
