name,count
worth,7
street,2
meals,2
saturday night,2
fantastic,2
brought,2
call,2
recommend,2
glass,2
excellent,3
95,3
end,2
amazing,9
pizza,16
wrong,2
order,7
wine,6
satisfied,2
expectations,2
coffee,4
safe,2
meat,3
meal,2
wanted,3
ate,2
days,3
isn,2
arrived,3
vittoria,25
delicious,10
wasn,3
service,16
needed,2
serve,2
seated,2
bridge,6
modern,3
mind,3
mouth,2
don,11
consumed,2
enjoyed,4
busy,7
menu,16
overbearing,2
bad,3
decided,6
lots,2
asked,2
tuscan bean salad,2
buzzing,2
quickly,2
expected,3
lovely,7
website,2
split,2
focaccia,2
easy,3
50,2
night,4
people,2
price,2
dinner,7
son,2
complaints,2
cleared,2
offer,7
felt,3
pizzas,3
good number,2
managed,2
leave,4
quick,3
loads,3
peanut butter crunch,2
drinks,2
garlic bread,3
make,5
mussels,2
water,3
wait,2
suggestion,2
love,2
give,2
visit,8
entrance,2
great place,2
reviews,2
arrive,2
edinburgh,11
spot,2
date,3
remember,2
years,4
ended,3
group,6
birthdays,2
main,2
lunch,6
half,2
didn,7
ice cream,6
shown,2
leith walk,2
george iv bridge,3
advance,4
couldn,4
waiter,4
place,21
cheese,5
2,2
la favourita,2
friend,9
boyfriend,2
sat,4
efficient,3
average,2
mains,3
calamari,2
pasta dish,2
olives,4
50%,2
excellent service,2
attentive,9
worry,2
pastas,3
great italian restaurant,2
pay,2
food,29
bottle,2
rest,2
tempting menu,2
extensive,3
spectacular,2
world,2
disappointed,3
favourite part,2
server,2
served,4
divine,2
intimate,2
exciting,2
side,2
aren,2
start,5
stars,2
downstairs,2
tasty,7
time,10
booked,2
wife,3
enjoying,2
fan,2
fab,2
large,2
small,2
opted,3
full,3
hours,2
vegetarian,2
experience,4
lasagne,2
family,4
gorgeous,2
door,2
town,3
inexpensive,2
share,2
huge,3
menus,3
occasionally,2
suffer,2
pesto,2
great service,2
wouldn,4
good,19
return,3
found,2
idea,2
tiramisu,4
7,2
calzone,2
imagine,2
put,2
feel,2
number,3
vittoria card,2
part,3
kind,2
scotland,4
added,2
salmon,2
eaten,2
traditional,2
ice creams,2
find,4
justice,2
pretty,3
red wine,2
restaurants,4
flavours,4
close,3
chose,2
won,2
restaurant,13
simple,3
crispy,3
expensive,2
peppers,2
good sign,3
priced,4
prices,3
bruschetta,2
bill,2
disappointing,3
italy,5
moment,3
levels,2
tables,3
bit,4
popular,2
sundaes,2
back,8
decision,2
eating,2
servers,3
fast,2
portion size,2
fried,2
ordered,7
delicious food,2
£10,3
italian restaurants,2
nice,6
favourite,2
reservation,2
desert,2
cooked,4
fresh,2
desserts,2
issues,2
ambience,2
pleasing,2
friendly,9
dessert,5
spaghetti,3
giving,2
waiting,2
carbonara,2
great,15
heart,2
starters,5
sort,2
starter,5
thin,2
attend,2
light,2
perfect,2
4 stars,2
ll,4
choose,2
day,5
risotto,2
delightful,2
lunch menu,4
ambiance,4
pretty good,2
wines,2
times,5
lot,3
haven,2
loved,4
dishes,2
looked,3
occasion,2
atmosphere,4
selection,3
pleased,2
staff,16
knowledge,2
la carte menu,2
attentive staff,2
great food,2
meatballs,2
favor,2
kinds,2
tuesday,2
italian food,5
table,5
addition,2
taste,4
seasoned,2
ve,11
party,3
tomatoes,2
la favorita,2
drink,2
ingredients,3
realised,2
rocket,2
smart,2
italian,9
home,3
bustling,3
pasta,9
sister,2
toppings,3
gluten,3
eat,7
made,3
places,2
problem,3
book,5
branch,2
star,2
friends,8
gelato,2
