name,count
good food,2
dish,4
long time,2
paris,2
glad,2
worth,4
dessert,6
choice,2
royal mile,2
list,2
haggis,6
enjoy,2
pork,2
bill,2
wedgwood,7
choices,2
black pudding,2
weren,2
scallops,5
give,3
dry,2
great,6
perfectly cooked,2
wedgewood,5
goats cheese,2
fantastic,2
flavors,2
starters,3
recommend,2
type,2
advance,2
started,3
3 courses,3
excellent,2
starter,6
town,2
word,2
honest,2
lamb,3
end,2
edinburgh,7
wrong,2
beetroot panna cotta,2
honestly,2
order,4
wine,2
perfect,4
main,8
wouldn,3
good,8
food,13
lunch,7
meat,2
didn,5
courses,3
sticky toffee pudding,2
found,2
difficult,2
meal,4
salsa,2
disappointing,2
special,3
pigeon,4
day,3
put,6
wanted,3
ate,3
times,3
place,6
feel,5
delicious,7
wasn,3
quality,3
service,9
spinach,2
top,2
night,4
flavourful,3
friend,3
lunch deal,2
dinner menu,2
sweet potato,2
modern,2
spoonful,2
dishes,3
scotland,2
salmon,2
don,5
left,2
fact,2
meatballs,2
mains,4
staff,4
nice,3
menu,4
3,2
plate,2
perfection,2
bad,2
restaurants,3
inventive,2
decided,3
tender,2
wow,2
attention,2
restaurant,7
neeps,2
fishcakes,2
point,3
sweet,2
table,5
beef,4
lovely,2
ve,3
decor,2
make,2
underwhelmed,2
week,2
moment,3
arrived,3
£12,3
rest,2
surprised,2
nice meal,2
wanting,2
served,4
absolutely,2
highly recommend,2
back,4
wine list,2
eating,2
dinner,2
area,2
start,3
lot,3
offer,2
downstairs,2
made,5
flavour,2
places,3
potato,2
ordered,3
taste,2
deer,2
attentive service,2
tasty,2
£15,2
detail,2
reservation,2
friends,3
time,3
fresh,3
