name,count
burritos,2
pride,2
mobbed,2
difference,2
quick,2
find,3
clerk,5
great,4
host,2
tv,2
love,2
sweet potato fries,2
screens,3
visit,4
popped,3
beers,5
excellent,2
£2,2
friendly,5
give,2
sample,2
heard,2
end,2
edinburgh,3
southern,2
mac,2
house lager,2
order,2
good,7
food,10
sharing platter,2
didn,4
stopped,2
reasonable,2
house,2
sports bar,2
expect,2
chicken wings,2
put,2
couldn,2
thing,2
place,8
loud,2
cheese,3
nacho burger,2
service,5
bite,2
kind,3
burger,4
apparently,2
added,2
reckon,2
plenty,2
left,3
chicken,2
enjoyed,2
staff,7
menu,3
hope,2
watch,2
chips,4
bar,5
bars,2
packed,2
meal,2
screen,2
real ale,2
cob,2
nearby,2
table,4
pulled pork,3
prices,3
pleasantly surprised,3
weren,2
craft beers,3
ve,3
decor,3
patrons,2
drink,3
pubs,4
burgers,5
hot dogs,3
nachos,3
money,2
rest,2
tables,3
big,2
possibly,2
bit,2
night,2
seating,5
back,2
tvs,2
sauces,4
craft beer,2
good selection,2
corn,2
served,2
ribs,5
range,2
eaten,2
area,2
lot,3
happy,2
offering,2
made,3
taste,2
tasty,5
£15,2
nice,2
students,2
football,2
visits,3
friends,3
time,4
