name,count
good food,3
forget,2
90,4
paris,2
simple,2
dressing,2
worth,2
dessert,6
decent prices,2
choice,3
cook,2
presented,3
friendly staff,2
good eating,2
main courses,2
enjoy,2
unexpected,2
managed,2
steaks,2
settled,3
opted,3
fillet,2
find,3
full,2
mussels,7
french,4
water,2
buzzing,3
great,5
salami,6
round,2
amount,2
fantastic,2
love,5
brought,2
eye,2
france,4
sort,2
£14,2
warm,2
£5,2
£7,2
town,3
great place,2
excellent,2
salad,7
making,2
complain,2
share,2
frites,2
1,2
amazing,4
coq au vin,3
edinburgh,9
spot,2
lot,2
crepe,2
remember,2
light,2
order,2
wine,6
bowl,2
ll,4
main,8
good,8
return,2
food,13
lunch,3
day,3
bread,10
10pm,2
meat,5
potatoes,4
lunch menu,2
pan,2
meal,4
glasses,2
fish,2
menu offers,2
space,2
fish dishes,2
red,2
aioli,2
french restaurant,2
couldn,2
times,3
chicken,4
place,12
turf,4
waitress,2
feel,2
number,2
rounded,2
lettuce,2
delicious,6
wasn,3
quality,2
guess,2
service,7
top,2
2,4
bitter,2
friend,2
minutes,2
seated,4
visited,2
cote de boeuf,2
tasted,3
outstanding,2
tastes,2
issue,2
scotland,2
dining,2
surf,4
bottle,2
dining partner,2
75,2
don,3
atmosphere,5
mains,2
cheap,3
corner,2
enjoyed,7
hanover street,3
staff,2
busy,8
menu,8
starters,2
rich,2
plate,3
hit,2
potato gratin,2
scallops,2
chips,2
nicely,2
chocolate mousse,4
bad,4
steak,5
decided,2
glad,2
tender,3
close,2
3,4
mum,2
perfect,5
chez jules,12
group,2
kitchen,2
gratin dauphinois,3
restaurant,5
sister restaurant,2
asked,2
reasons,2
restaurant brings,2
table,10
expensive,2
olives,13
pierre victoire,2
seasoned,2
lovely,3
turned,2
priced,2
chocolate mouse,2
prices,2
french onion soup,2
mustard dressing,3
dressed salad,2
ve,5
chilled,2
make,3
waitresses,3
butter,4
onion soup,2
thought,3
hearty,3
highly recommended,2
left,2
tables,2
recommended,2
book,2
frenchness,2
bit,7
50,2
night,3
served,6
back,5
lobster,2
pickles,3
price,2
business,2
noisy,2
side,7
dinner,7
slightly,2
ladies,2
visit,2
impressed,3
friends,2
start,2
forward,2
steak tartare,3
eat,2
made,2
romantic,2
fries,5
seafood,2
ordered,2
2 courses,2
taste,6
tasty,4
£15,2
£10,2
coffees,2
nice,4
star,3
time,9
fell,2
walked,2
cooked,2
fresh,3
