name,count
extensive menu,2
hate,2
worth,3
pub quiz,2
haggis,2
street,2
told,2
saturday night,4
dry,3
music,2
recommend,4
warm,2
word,3
vodka,2
chocolate sauce,2
end,2
drink menu,2
amazing,3
description,2
order,4
eventually,2
combination,2
bread,3
meat,2
side,3
white russian cocktails,2
god,2
free,2
wanted,6
ate,2
days,2
isn,4
loud,2
bite,3
delicious,5
wasn,7
service,6
top,3
toe,5
serve,2
feeling,3
mind,4
plenty,5
don,13
place,19
enjoyed,5
busy,6
layout,3
menu,17
theme,3
dj,3
bar,20
bad,2
decided,3
kitchen,2
essentially,2
asked,2
beer,5
personally,2
weren,2
stopping,2
oatcakes,2
things,3
make,9
split,3
pubs,2
burgers,9
left,4
steak strips,2
gave,2
night,12
live music,4
people,4
dinner,4
head,2
offer,2
hear,2
fashioned,3
trip,4
whipped cream,3
update,2
weekend,2
time,8
milk,4
big fan,2
choice,2
cool,2
turns,2
leave,2
quick,2
white russian,12
run,3
cosy,2
drinks,13
laid back,2
lebowski theme,2
change,2
love,6
dude,12
great place,3
arrive,3
sample,2
nihilist,2
pint,3
edinburgh,8
cocktail,2
spot,4
remember,2
ended,3
group,3
good place,2
nom,2
food menu,3
conversations,2
lunch,2
half,3
didn,10
charging,2
care,2
couldn,2
thing,3
yum,3
cheese,3
long,2
open,2
city,2
friend,3
boyfriend,3
10,2
future,2
happy,4
tasted,5
sad,3
sat,3
buckfast,2
price,2
hungry,2
show,2
cheap,2
stand,3
husband,2
seat,2
cocktails,8
review,2
3,2
potato wedges,2
case,2
middle,2
evening,2
bowl,3
check,2
rest,2
sampled,2
thinking,3
served,4
nice,6
exciting,2
references,3
lively,3
area,3
taste,4
ah,2
moved,2
tasty,3
girlfriend,2
film,8
alcohol,2
finished,2
week,5
original,2
worse,2
fan,3
list,4
burger,4
pass,5
big lebowski,14
full,3
hours,2
experience,2
milkshake,3
call,2
excuse,2
basically,2
town,2
chocolate milk,2
white russians,23
police chief,2
coming,2
25,2
20,2
late,2
wouldn,7
good,14
return,5
food,23
stopped,2
found,2
hard,2
idea,2
expect,2
friday,2
pub,6
pleasant,2
put,3
pretty busy,2
feel,5
number,2
miss,2
guess,3
ve found,2
tats,2
kind,4
namesake,2
supposed,3
traveling,2
lebowskis,17
eaten,2
realised,2
fine,2
find,7
pretty,2
hit,2
locals,2
movie,3
won,3
great selection,2
restaurant,3
connection,2
likes,2
due,3
wait,2
empty,3
understand,2
bill,2
fun,5
pound,2
decor,2
moment,2
person,2
lebowski,10
tables,6
cut,2
excited,2
customers,2
lacking,2
couple,2
bit,4
donny,4
highly recommend,3
back,15
visit,4
impressed,2
suit,3
line,3
ordered,11
doesn,4
favourite,3
cooked,2
beers,3
ambience,2
drinking,2
write home,2
booth,2
chose,2
great,8
names,2
reserved,2
8,2
salad,2
sit,2
vibe,3
swear,2
watch,2
honestly,2
bartenders,2
choose,2
hands,2
day,4
craving,2
times,6
waitress,2
straight,3
ordering,2
lot,6
haven,3
loved,3
visited,3
apparently,2
looked,4
lots,4
atmosphere,7
bring,3
table service,2
chicken,3
staff,6
based,3
meant,3
perfection,2
smoked salmon,2
chips,3
grab,3
ll,4
wall,4
walk,2
table,4
bloody marys,2
fish burger,2
ve,15
party,2
drink,7
thought,5
2 things,2
point,2
theme bar,4
pies,2
home,2
literally,5
hoping,2
friday night,3
lothian road,2
year,2
good tunes,2
naturally,2
bun,2
eat,9
made,5
minutes,2
limited space,2
ingredients,3
kinds,4
stay,2
friends,3
