name,count
friendly,3
dessert,4
pork,2
accommodating,2
la garrigue,3
order,3
full,2
meh,2
french,2
great,5
small portion,2
apple,3
hoping,2
visit,5
gorgeous,2
started,4
3 courses,2
excellent,3
starter,3
soup,2
dinner,3
edinburgh,4
main,6
coffee,2
good,7
food,9
lunch,3
walls,2
day,2
potatoes,2
didn,3
meal,2
fish,2
expect,3
year,2
friday,2
place,3
waitress,2
feel,2
delicious,2
wasn,3
quality,2
service,8
spinach,2
haven,2
feeling,2
tastes,2
don,4
enjoyed,3
staff,7
menu,3
lots,2
review,2
cauliflower,2
restaurant,6
table,2
beef,2
great service,2
weren,2
ve,3
pay,4
parents,2
bit,2
50,3
served,3
back,2
beans,2
made,2
wise,2
ordered,3
taste,2
£15,2
felt,2
longer,2
warm,2
time,2
