name,count
friendly,6
small,2
enjoy,2
streets,2
full,2
great,2
experience,2
makes,2
options,2
family,3
visit,2
6,2
glass,4
starter,2
pizza,6
edinburgh,4
order,2
wine,4
great service,2
sauce,2
good place,2
good,4
food,9
day,3
meat,3
meal,4
space,2
leith walk,3
george iv bridge,2
place,3
cheese,2
feel,2
vittoria,7
wasn,2
quality,2
service,6
top,2
needed,2
friend,2
boyfriend,2
mind,3
don,2
fine,2
enjoyed,2
staff,3
pretty,2
morning,2
meatballs,2
kitchen,2
point,2
italian food,2
beer,2
attentive,2
main,2
welcoming,2
restaurant,3
choices,2
ve,3
pastas,2
italy,2
arrived,3
big,2
bit,4
walk,2
italian,2
back,3
table,2
run,2
friday night,2
happy,2
flavour,2
taste,2
tasty,4
branch,2
friends,2
time,3
