name,count
chinese,2
dish,2
bland tasting veggies,2
full,2
hong kong,2
love,2
reviews,2
give,2
takeaway,2
order,2
wouldn,2
good,3
food,5
didn,2
expect,2
authenticity,2
put,2
place,7
delicious,2
quality,2
size,2
service,2
friend,2
part,3
dishes,4
don,3
staff,3
menu,2
rice,2
byob,2
restaurant,3
localized affair,2
ll,2
lovely,2
prices,2
ve,3
processed meat,2
add,2
bit,2
chinese restaurant,2
people,2
back,3
gelatinous gravy,2
eat,2
ordered,3
taste,2
tasty,2
book,2
time,2
