name,count
partial,2
bean burger,2
long time,2
hurry,2
yummy,2
white,2
worth,7
glad,2
friendly,4
cheap,5
vegan,2
choice,3
fan,3
cool,3
leave,3
quick,6
guy,2
round,2
bacon,3
burger,23
street,2
root beer floats,2
eating,3
casual,2
opted,3
decent price,2
enjoyed,4
disappoint,2
full,2
change,2
great,8
burger joint,2
experience,2
milkshake,3
50p,3
love,4
extra,4
student discount,3
hamburger,2
call,2
today,2
sort,2
£4,2
£7,2
great place,2
salad,3
work,2
pickle,2
tap,2
give,3
awesome,2
share,2
states,3
end,4
town,3
1,2
till,2
amazing,6
edinburgh,14
man,2
tomato,2
remember,2
save,2
hadn,2
burger place,3
takeaway,2
order,11
years,3
whilst,2
shake,2
mcdonalds,5
perfect,3
fit,2
ll,4
hot,2
choose,4
good,14
food,14
double cheeseburger,2
day,4
meat,6
didn,7
filling,3
realise,2
found,3
side,7
expect,2
special,3
wise,2
grease,2
free,8
pleasant,3
reason,3
wanted,7
area,2
calories,2
days,6
heading,2
american,2
place,19
loud,2
top,3
cheese,5
feel,4
beer,2
fancy,2
fast,10
delicious,5
thick,3
ditch,2
quality,3
iced tea,2
service,10
bite,2
2,2
friend,4
option,3
counter,4
tasted,2
fast food,5
tastes,3
customise,2
note,2
interior,3
wanting,2
grilled onions,2
serve,2
price,4
healthy,2
paid,2
toilets,3
future,2
pager,3
patties,2
don,13
fills,2
bbq sauce,2
hungry,3
cajun fries,6
part,3
clean,2
fact,6
burger joints,2
bright,2
table service,2
corner,3
chicken,3
find,8
staff,7
busy,2
menu,3
pretty,4
milkshakes,3
cajun spice,2
chips,3
ended,2
burger wasn,2
set,2
fair,2
great choice,2
generally,2
seat,2
decided,3
free refills,2
satisfying,2
lots,2
3,2
won,3
glasgow,2
fried egg,2
store,2
tenner,3
cup,2
asked,2
peanut butter,2
point,3
wall,2
pop,2
table,2
crispy,2
late,2
beef,4
wait,2
disappointed,2
understand,2
prices,3
sit,2
onion rings,2
visit,6
fun,3
extra toppings,2
ve,14
shame,2
ready,4
things,6
make,4
check,2
mayo,3
restaurant,3
week,2
booths,3
thought,2
burgers,20
hot dogs,2
left,2
£10,2
speed,2
wannaburger,20
high tables,2
add,5
drink,2
good burger,2
read,2
big,3
couple,4
bit,11
50,5
collect,2
served,2
making,2
people,3
back,9
loads,2
literally,2
shakes,4
veggie options,2
spicy bean burger,5
isn,2
super,2
meal,5
toppings,4
west end,3
annoys,2
america,2
beers,2
sides,5
blue cheese,3
lot,5
head,2
spicy,4
bun,4
eat,4
pull,2
made,6
places,2
fries,16
burger king,2
problem,2
fried,2
ordered,4
taste,3
tasty,8
pickles,2
jalapenos,4
good thing,2
variety,4
nice,7
picture,2
felt,3
friends,3
meals,2
&ms,2
walked,2
time,9
