name,count
good food,2
switched,2
desserts,2
dish,6
presentation,2
worth,6
dessert,8
choice,2
royal mile,7
enjoyable,2
haggis,6
fois gras,2
small,2
enjoy,3
beef tartare,2
street,3
blood sausage,2
opted,2
4,3
find,2
shared,4
full,2
chose,2
making,2
great,3
perfectly cooked,4
experience,3
suggestion,2
apple,2
visit,3
creamy,2
recommend,4
angels,8
started,3
glass,3
excellent,5
starter,4
town,2
room,2
salad,2
friendly,7
beautiful,2
give,4
green beans,2
lamb,7
huge,2
end,2
amazing,4
disappoint,2
edinburgh,7
spot,3
coming,3
date,2
husband loved,2
honestly,2
order,3
wine,6
chocolate brownie,3
sweetness,2
perfect,3
ll,2
window,2
main,8
good,9
food,15
lunch,3
meat,2
potatoes,2
didn,9
stopped,3
found,3
side,3
person,2
fish,3
hard,2
idea,2
special,2
pretty good,2
wanted,2
food presentation,2
ate,5
waiter,2
times,2
thing,2
place,14
bite,2
cheese,3
feel,2
delicious,7
wasn,3
quality,2
service,15
start,3
top,2
wonderful,3
option,2
front door,2
stairs,2
kind,5
elegant,2
seated,3
panna cotta,2
great service,2
flavorful,2
pork belly,2
sat,4
dishes,4
scotland,4
salmon,3
don,5
left,2
atmosphere,5
mains,3
enjoyed,4
staff,10
menu,11
couldn,3
rich,2
boyfriend,3
hope,2
appetizer,2
scallops,4
portions,3
chips,3
greens,2
caramel,2
steak,4
husband,3
restaurants,4
bit pricey,3
decided,6
tender,4
heavy,2
review,2
won,2
uk,3
neeps,2
asked,2
6,2
portion sizes,2
table,7
angel,2
beef,2
outstanding,2
lovely,2
life,2
attentive,2
case,2
sweetbread,2
hostess,2
restaurant,10
weren,2
ve,5
wouldn,3
ribeye,2
evening,2
return,3
friendly service,2
make,3
trip,4
day,2
finish,3
drink,2
arrived,2
bagpipes,9
costs,2
fantastic,2
flavor,2
tables,2
hint,2
location,3
excellent restaurant,2
bit,3
disappointed,3
night,5
served,4
people,5
highly recommend,2
back,9
recommendation,3
lentils,2
courses,3
polite,2
host,2
meal,2
dinner,6
reservation,2
potato,2
large groups,2
long,2
sides,2
stars,2
exceptional,2
happy,4
head,2
offer,3
ambiance,2
eat,4
made,6
ordered,6
reservations,4
romantic dinner,2
tasty,7
check,3
venison,3
5,3
nice,12
star,2
felt,4
prepared,2
friends,2
lamb rump,2
wife,3
cooked,2
time,5
