name,count
walking,2
desserts,2
dessert,3
harry,8
voucher,2
melt,2
scallops,2
full,2
brought,2
eye,2
visit,2
6,2
share,2
glass,2
ate,2
excellent,3
grill,4
salty,2
huge,2
amazing,3
edinburgh,4
guys,2
man,2
remember,3
prosecco,3
good,3
return,2
food,3
bread,2
didn,2
side,3
event,2
space,3
attended,2
couldn,2
delicious,2
wasn,2
sadly,2
stairs,2
showed,2
uk/biz/yelp,2
ages,2
yelp event,2
apparently,2
place,2
note,2
knew,3
mouth,2
bar & grill,2
don,2
mains,3
find,2
staff,2
based,2
menu,6
starters,2
hit,2
perfection,2
chips,3
bar,7
steak,6
seabass,3
tender,3
quality,2
//www,2
restaurant,3
beef,2
beer,2
treat,2
lovely,2
prices,2
tasty,2
ve,3
rib,2
make,3
week,4
finish,2
drink,2
rest,2
tables,2
itison voucher,2
josper grill,2
day,2
add,2
read,2
bit,2
lamb shank,2
people,2
date night,2
back,4
table,2
meal,2
west end,2
long,2
sides,4
start,2
offer,2
eat,3
problem,2
taste,3
doesn,2
cooked,4
nice,3
weekend,3
hidden gem,2
yelp,3
time,2
fresh,3
