name,count
worth,2
chef,2
great,3
fantastic,2
visit,2
starter,2
friendly,2
edinburgh,3
waitress,2
good,7
food,11
day,3
didn,3
meal,5
fish,2
expect,2
leave,2
quality,2
surprise,3
george iv bridge,2
times,2
place,3
bland,2
2,2
randomly,2
price,2
don,3
cellar door,3
mains,2
good service,4
enjoyed,2
staff,4
menu,2
great food,2
restaurant,3
point,2
wall,2
table,3
case,2
make,2
4,2
couple,2
bit,3
avoid,2
wine list,2
dinner,2
ordered,2
stumbled,2
nice,5
time,2
sides,2
patisserie,2
fresh,2
