name,count
friendly,3
pretty good,2
haggis,2
visit,3
recommend,2
£4,2
worth,2
heard,2
wrong,2
ll,2
offers,2
tasty food,2
lunch,2
day,3
courses,2
reasonable,2
space,2
pleasant,2
place,4
delicious,3
friend,2
kind,2
spotted pink olive,2
george square,2
pre,2
note,3
staff,2
menu,2
starters,2
hope,2
plate,2
restaurant,2
admit,2
seasoned,2
prices,2
pleasantly surprised,3
main,3
pink olive,7
ve,3
good,5
theatre menu,2
tables,3
easy,2
bit,4
stylish,2
back,3
served,3
afternoon,2
complete,2
offer,2
don,2
tasty,2
meals,2
