name,count
dish,3
starter,2
worth,2
£23,3
dessert,2
enjoy,2
full,3
yelpers,2
vegetarian,2
pick,2
portions,2
started,5
3 courses,2
glad,2
town,2
friendly,3
wine,2
ll,2
main,3
sauce,4
wouldn,2
good,3
food,9
didn,4
courses,2
meal,4
hard,2
fixed menu,2
quality,3
place,7
feel,2
delicious,4
wasn,2
miss,2
service,4
wonderful,2
fiona,2
dishes,2
efficient,2
price,2
don,3
atmosphere,2
duck parfait,2
staff,3
menu,5
loved,2
salted caramel sauce,2
red wine,2
restaurants,2
packed,2
3,3
busy night,2
met,2
asked,2
table,2
blonde,4
lovely,2
choose,2
great,2
restaurant,2
tasty,3
dark,2
bit,2
50,2
people,2
back,4
home,2
christmas menu,2
glass,2
dinner,3
ox,2
flourless chocolate cake,2
offer,2
steamed pudding,2
made,2
venison,2
time,2
