name,count
waiters,3
dessert,2
drinks,2
carbonara,2
great,2
experience,2
ve,3
give,3
bar napoli,8
high,2
pizza,6
serving,2
late,2
wouldn,2
food,7
bread,2
pretty good,2
found,2
reason,3
wanted,2
ate,2
place,9
stale bread,2
feel,2
number,2
open,4
service,3
stars,2
kind,2
treated,2
mind,2
dishes,2
price,2
don,2
cheap,3
find,2
staff,2
menu,4
cheaper,2
bad,2
close,3
closed,2
table,3
prices,2
good,3
italy,2
things,2
thought,2
person,2
left,2
tables,2
read,2
bit,2
served,3
people,4
eating,2
pasta,2
toppings,2
low,2
time,2
