name,count
good food,2
worth,2
innis,4
dislike,2
friendly,3
schooner,2
cool,3
brother,2
small,2
managed,2
burger,2
street,2
eating,2
drinks,6
gunn,2
enjoyed,2
told,4
full,4
great,4
tartar sauce,2
experience,2
chicken burger,2
fantastic,2
love,4
&,6
pints,2
visit,3
recommend,2
sort,2
beers,12
£6,3
glad,2
town,3
bartender,2
salad,2
work,3
soup,2
tap,5
give,3
share,2
heard,2
end,2
expecting,2
pint,6
edinburgh,4
wrong,2
mentioned,2
good,13
food,18
lunch,3
half,2
front,2
day,2
didn,2
chunky chips,2
found,2
hard,3
ambiance,2
idea,2
special,3
opened,2
space,3
brewery,3
wines,2
pub,3
couldn,4
times,2
place,10
saving,2
feel,4
delicious,2
wasn,3
rum finish,5
open,3
size,2
city,3
bite,3
stomach,2
serve,2
loved,5
breakfast,2
sat,2
dishes,2
black pudding,2
price,5
plenty,2
don,4
fact,2
selection,4
meal,3
find,2
staff,3
toast,2
busy,3
menu,7
wood,2
stop,2
batter,2
chips,4
bar,8
steak,2
lot,2
seat,2
tender,2
mushy peas,2
restaurant,2
beer kitchen,7
scottish,2
table,2
expensive,4
innis & gunn,6
beer,13
toasted oak ipa,2
lovely,2
empty,2
understand,2
prices,2
brunch,2
fun,2
ve,8
evening,2
things,2
make,2
fuss,2
drink,4
arrived,2
thought,3
cup,2
excited,2
spectacular,2
couple,2
bit,2
helpful,3
server,2
served,2
lager,5
seating,2
people,2
back,7
fish,3
veggie steak,2
night,2
lothian road,5
dinner,6
noticed,2
forward,2
fish & chips,2
happy,2
offer,3
eat,4
made,2
flavour,2
places,5
gunn beers,2
hanging bat,2
ordered,4
taste,2
tasty,4
compared,2
nice,3
poor,2
felt,2
time,8
fresh,3
original,2
