name,count
manager,2
dish,3
dessert,2
enjoy,2
voucher,2
galvins,2
enjoyed,2
great,3
duck,2
recommend,2
started,2
starter,3
share,2
times,2
amazing,2
advice,2
galvin brothers,2
waldorf astoria,2
galvin brasserie de luxe,2
main,3
2012,2
coffee,3
food,7
lunch,3
day,2
bread,3
sundays,2
didn,3
courses,2
found,2
side,3
wanted,2
place,4
isn,2
dine,2
wasn,2
service,8
2,2
hotel,2
scotland,2
added,2
price,3
salmon,2
eaten,3
class,2
don,3
galvin,2
fact,2
show,2
mains,2
fine,2
staff,5
menu,3
black,2
rich,2
words,2
bar,2
decided,2
brasserie,4
review,2
back,2
restaurant,4
table,2
sommelier,2
intrusive,2
lovely,3
finished,2
attentive,4
make,2
finish,2
tables,3
bit,2
50,2
night,2
pompadour,2
white tiled floor,2
meal,4
dinner,2
start,3
happy,2
eat,5
flavour,2
places,2
fine dining,2
seafood,2
taste,2
describe,2
£15,2
nice,2
felt,2
cooked,2
time,3
