name,count
managed,2
chinese,2
desserts,3
worth,3
dessert,2
choice,2
staff,3
wait,3
cosmo,2
prawn crackers,2
spring rolls,2
hour,2
give,2
sample,2
honest,2
dinner,2
pizza,4
food,9
lunch,3
front,3
didn,3
thing,4
place,4
wasn,2
service,2
thai,2
kind,2
dishes,2
online,2
price,3
buffet,5
plenty,2
buffet restaurant,2
looked,2
enjoyed,2
busy,2
money,3
plate,2
decided,2
noodles,2
lots,3
decent,2
ve,4
sushi,5
pay,3
family,2
bit,3
night,2
popular,2
back,2
booking,2
hot,2
lot,2
offer,2
fully booked,2
eat,3
tasty,2
fill,2
nice,5
time,4
prepared,2
cooked,2
fresh,3
