name,count
cockburn street,3
prices,6
worth,2
messy,2
enjoy,3
mexican restaurant,6
enchiladas,6
saturday night,2
fajitas,2
criticism,2
fantastic,4
replace,2
brought,3
recommend,5
type,2
evening,2
warm,2
excellent,4
£4,2
£5,3
£2,2
disappointing,2
room,2
give,4
end,2
amazing,3
wrong,3
salsa,4
authentic mexican food,2
rocks,2
filling,3
meal,7
forgot,2
size,3
leftovers,2
wanted,5
days,2
delicious,7
wasn,8
service,6
top,3
seated,2
glass,2
talking,2
plenty,2
nachos,4
don,4
enjoyed,4
busy,3
menu,7
chipotle,2
rice,14
plate,2
bad,2
steak,2
decided,5
lots,5
received,2
beef,2
chocolate chili cheesecake,3
tiny,2
quickly,4
expected,2
lovely,3
weren,4
mexico,4
grown,2
things,4
make,5
split,2
hand,2
left,2
easy,2
refried beans,8
50,3
night,4
people,2
super,2
dinner,4
rounds,2
happy,5
head,4
offer,2
flavour,3
looked,3
tip,2
picture,2
felt,5
potato,3
shredded beef burrito,2
time,11
atmosphere,6
burritos,6
95,2
choice,2
margarita,4
presented,2
pork,3
mexican beers,2
drinks,6
chimichanga,5
viva mexico,16
wait,3
boy,2
love,7
afford,2
ceviche,3
reviews,4
soup,2
arrive,2
awesome,3
restaurants,2
edinburgh,16
spot,3
guys,2
remember,4
years,4
ended,3
group,3
main,7
lunch,4
half,3
didn,9
yeah,2
year,2
relive,2
california,2
couldn,4
place,13
cheese,5
cheesy,2
city,2
jugs,3
friend,6
appreciated,2
pre,2
tasted,5
efficient,2
price,2
knew,2
hungry,3
order,5
show,2
mains,9
calamari,2
portions,3
husband,2
reading,2
middle,2
good,20
mexican sunshine,2
mexican food,16
finish,2
money,4
rest,3
flavor,3
disappointed,2
served,3
comparison,2
side,3
meals,3
start,5
lot,3
spicy,4
jug,2
pitcher,2
cabo style fish tacos,2
tostadas,2
taste,5
tasty,5
5,2
rock salt,3
decorated,2
lack,3
dish,5
attentive,2
sitting,2
fan,2
small,3
servers,2
past,2
opted,3
full,3
experience,5
guacamole,5
family,2
6,2
flan,2
glad,2
hour,2
salted,2
huge,2
tacos,5
authentic,4
mexican,7
enchiladas de mole,2
wouldn,2
food,26
walls,2
bigger,3
found,2
hard,3
idea,2
expect,3
dire,2
terrible,2
feel,2
cerveza,2
bland,2
burrito,8
stairs,2
mexican rice,3
scotland,6
mexican beer,2
find,7
starters,5
pretty,3
hit,4
sour cream,2
looked tasty,2
close,3
won,3
restaurant,6
point,2
sweet,2
expensive,3
4,2
mind,3
priced,2
pricey,2
bill,3
kick,2
fun,4
rim,2
decor,3
free salsa,2
arrived,3
corn chips,2
mole sauce,2
excited,2
complaint,2
big,2
couple,2
bit,7
back,9
sauces,3
haggis nachos,2
run,2
beans,3
beef enchiladas,2
uk,3
highlight,2
ordered,11
nice,7
sides,2
cooked,2
fresh,3
enjoyable,2
reheated,2
friendly,9
dessert,2
royal mile,2
magic,2
waiting,2
great,16
larger,2
leaving,2
opinion,2
sort,2
salad,2
thin,2
quesadillas,2
sit,3
taco,2
ll,3
choose,3
pretty good,2
west coast,2
bothered,2
spicy chipotle mayonnaise dip,2
times,3
birthday,2
margaritas,7
decorations,2
loved,8
comfortable,2
dishes,3
yum,2
fact,3
bring,2
pico de gallo,2
chicken,6
staff,13
hadn,2
hope,3
chips,4
stuff,2
mexicans,2
mexican restaurants,4
table,8
decent,3
finished,2
chimichangas,2
ve,9
drink,6
student,2
thought,8
realised,2
day,3
lost,2
works,2
friday night,2
rare,2
glasses,2
noticed,2
buy,2
eat,6
made,4
places,2
problem,2
compared,4
book,5
friends,3
yelp,2
