name,count
excellent,4
starter,5
couscous,2
friendly,2
returned,2
dessert,3
street,2
small,4
chef,2
opted,4
find,2
shared,3
filled,2
told,2
pickled egg,2
full,5
beasts,2
buzzing,2
wait,4
ox cheek,2
perfectly cooked,2
sea salt,3
love,3
pine nuts,2
brought,2
give,2
visit,2
started,3
warm,2
£9,2
town,2
salad,2
ribs,2
booking,2
pigeon breast,2
share,6
hot,3
pudding,3
ordinary,2
chicken wings,2
spot,2
imagine,2
wrong,2
prawns,2
frequent,2
order,2
wine,5
bowl,2
including,2
cold,2
birds,9
perfect,2
ll,2
amazing,5
main,5
coffee,3
evening,2
tucked,2
food,5
sharing platter,2
lunch,4
half,2
day,2
bread,4
easily,2
meat,3
didn,6
delightful,3
side,4
edinburgh,3
fish,2
expect,3
special,2
aioli,2
reason,2
struggle,2
put,2
yum,2
waitress,3
delicious,7
quality,2
service,7
stuffed,2
time,5
man,2
luckily,2
alas,2
boyfriend,2
loved,2
bed,2
tasted,3
mind,2
juicy,3
close,2
place,6
remember correctly,2
paid,2
don,3
veggie mezze platter,2
salt,3
fact,2
show,2
mains,7
chicken,3
enjoyed,6
staff,4
hadn,2
menu,9
winner,2
starters,6
couldn,2
meant,3
plate,3
report,2
bad,2
finishing,3
asked,2
tender,3
great food,2
lots,2
review,2
bruntsfield,2
initially,2
kitchen,2
restaurant,9
table,4
crispy,3
beetroot,2
unusual,2
beef,2
crispy pig ears,2
expected,4
venison,2
finished,2
pulled pork,2
catch,2
bill,2
fun,2
ve,5
good,6
dukkah,2
rib,2
friendly service,2
combination,2
make,3
david lynch,2
arrived,2
thought,2
left,3
moments,2
photo,2
touch,2
rest,2
cut,2
tomato sauce,2
4,2
big,3
bit,2
night,2
served,3
people,4
highly recommend,2
back,9
home,3
sauces,2
meaty,2
intimate,2
birthday dinner,3
meal,5
stand,2
baba ganoush,2
start,2
stars,3
polite,2
made,3
flavour,3
fries,3
ordered,6
jenny,2
tasty,3
candle,2
incredible,2
nice,6
reservation,3
friends,3
sides,3
portion,2
platter,3
