name,count
hangovers,2
cheerful,3
grab,2
friendly,6
list,2
haggis,3
bacon,2
black pudding,4
sausage,2
full breakfast,2
find,3
hungover,3
great,8
30,2
amount,2
makes,2
greasy spoon,2
sort,3
door,2
town,2
work,2
heart,2
amazing,3
edinburgh,10
spot,2
menus,2
wouldn,2
coffee,3
good,7
food,4
bigger breakfast,2
lunch,2
day,3
expect,2
place,9
cheese,2
*,2
dont,2
wash,2
open,2
city,2
quality,2
back,2
stomach,2
breakfast,6
hangover,2
eggs,3
don,5
haggis roll,2
occasion,2
fact,2
cheap,7
comfort food,2
staff,5
toast,3
busy,2
pretty,2
plate,2
chips,2
queue,3
breakfasts,2
snax cafe,3
greasy breakfasts,2
set,2
wall,2
ordered,2
fry,2
ve,3
biggest breakfast,4
friendly service,2
make,6
greasy goodness,2
student,2
burgers,4
lunch time,2
tables,2
snax,11
simple,2
sizes,2
night,3
served,2
baked potato,2
home,2
fry ups,2
paninis,4
beans,3
friends,2
fiver,2
lot,2
happy,3
head,3
offer,2
panini,2
tasty,3
cafe,2
generally,2
roll,2
students,2
diet,2
posters,2
time,3
