name,count
good food,2
dish,5
yummy,2
presentation,2
worth,2
garden,3
dessert,3
minute,2
cool,3
presented,2
list,5
small,6
loads,2
enjoy,2
work,3
chef,2
drinks,3
opted,2
stunning,2
order,3
full,2
wait,2
great,3
smoke,2
portions,2
makes,3
fantastic,2
love,2
glance,2
doubt,2
music,2
crab,3
weren,3
charming,2
warm,4
starter,3
local,2
timberyard,9
friendly,5
bites,3
beautiful,2
give,3
heard,2
huge,2
end,2
sit,2
returning,3
menus,3
amazing,4
edinburgh,5
spot,2
decor,3
tartan throws,2
lot,2
date,2
tastebuds,2
honestly,2
halibut,3
make,4
top,3
whilst,2
cold,3
perfect,2
interesting,3
main,7
round,3
wouldn,2
good,5
return,3
food,15
wood burning stove,2
didn,4
courses,5
found,2
meal,2
needless,2
ambiance,2
idea,2
expect,2
pigeon,3
surprise,2
wines,3
guess,2
wanted,2
advance,2
times,3
ish,2
place,12
isn,2
dine,2
feel,4
feet,2
delicious,4
quality,4
service,11
bite,6
needed,3
friend,2
boyfriend,2
loved,3
seated,2
mind,3
lamb,2
dishes,5
note,2
mix,2
finding,2
special occasion,2
price,3
oyster,2
tasting menu,3
don,4
hungry,4
review,4
mains,4
bring,2
find,2
staff,9
menu,9
starters,4
exceptional,2
lucky,2
4 courses,2
made,2
bar,3
art,2
constantly changing,2
cocktails,2
flavours,2
decided,2
whipped butter,2
white,2
kitchen,3
restaurant,5
point,3
sweet,2
portion sizes,2
walk,2
table,2
expensive,4
beef,2
creativity,2
celebration,2
choose,2
attentive,3
middle,2
evening,2
pay,2
serving,2
plates,2
finish,2
drink,2
thought,3
person,2
knowledgeable,3
half,2
rest,2
flavor,2
letting,3
tables,3
spectacular,2
immediately,2
bit,5
unique,3
helpful,4
chairs,2
50,2
ve,2
back,9
creative,3
knew,2
la carte,2
dinner,6
friends,2
start,4
forward,2
happy,2
relaxed,4
eat,2
lovely,2
flavour,3
places,2
ordered,2
taste,4
tasty,4
ingredients,3
venison,3
nice,2
felt,2
weekend,3
booked,2
cooked,2
time,2
fresh,3
