name,count
worth,2
dessert,2
die,2
steaks,2
voucher,2
mussels,4
fantastic,2
started,2
glass,2
starter,5
nira caledonia,2
friendly,3
share,2
amazing,2
yum,2
edinburgh,4
wine,2
ll,2
choose,3
absolutely delicious,2
evening,2
food,3
bread,3
didn,2
side,2
pleasant,2
wanted,3
ate,2
place,4
wasn,3
service,4
loved,3
treated,2
outstanding,2
price,2
review,2
find,2
staff,3
menu,2
meant,2
perfection,3
steak,3
decided,2
reading,2
kitchen,2
suggested,2
restaurant,2
josper grill,2
table,3
offered,2
attentive,2
main,3
ve,2
ribeye,2
good,2
deal scum,2
blackwood,2
finish,2
big,2
night,2
served,3
back,3
dinner,4
lot,3
butters,2
amuse bouche,3
taste,2
tasty,4
favourite,2
cooked,2
time,4
