name,count
good food,3
enjoyable,2
mile,2
glad,2
friendly,10
dessert,3
royal mile,10
groups,2
cutesy spelling,2
scotch whisky,2
haggis,10
enjoy,2
ale pie,2
burger,5
street,3
drinks,11
waitress,3
enjoyed,6
waiting,2
shared,2
told,3
met,2
snack,2
wait,6
great,14
hadn,2
experience,8
round,2
love,4
bathrooms,2
visit,2
passport,2
recommend,5
sort,3
started,3
whiski,11
restaurant,5
beers,2
excellent,4
starter,2
whisky,14
great place,5
soup,2
recommend coming,2
meet,2
whiskys,2
tap,2
give,4
awesome,2
sample,2
end,2
thing,2
provide,2
haggis tower,10
hot,2
yum,3
rude,2
watch,3
spot,3
decor,2
wrong,3
man,2
light,2
top,3
whilst,3
cold,2
bunch,2
perfect,2
25,2
group,2
ll,2
feel,4
window,3
choose,4
sauce,2
good place,3
wouldn,2
good,13
food,27
lunch,3
disappoint,3
bread,4
10pm,3
didn,11
filling,4
stopped,8
found,4
side,2
edinburgh,13
disappointing,2
expect,3
miss,3
whiski bar,3
mashed potatoes,2
managed,2
tourist trap,2
pub,3
imagine,2
put,2
wanted,2
area,2
place,19
town edinburgh,2
delicious,11
wasn,3
thick,2
fight,2
service,9
bite,4
touristy,2
tourists,5
friend,5
lot,7
packed,3
tasted,2
tastes,3
turn,2
check,3
offer,2
scotland,4
recommended,2
price,3
classy,2
salmon,6
whiski burger,6
don,11
great food,2
hungry,2
traditional,2
super friendly,3
nice place,2
bartenders,2
clean,2
scotch,3
dragged,2
atmosphere,5
selection,6
booze,2
corner,2
find,3
staff,10
busy,2
menu,3
knowledgeable,4
stop,5
kind,5
chips,8
bar,10
ended,3
steak,3
husband,2
whiskies,4
advertised,2
seat,2
decided,2
seated,4
locals,4
hot toddy,2
lots,3
great selection,3
hours,2
great pub,2
neeps,2
amazing,2
asked,2
point,3
steak pie,2
table,6
expensive,2
quickly,2
beer,3
expected,4
lovely,3
relaxing,2
flavorful,2
prices,4
attentive,3
welcoming,2
bill,2
cullen skink,4
fun,5
ve,6
looked good,2
helped,3
scottish cuisine,2
pay,2
make,2
reminded,2
week,4
drink,10
butter,2
whisky sauce,2
pints,2
server,3
thought,2
large selection,2
tables,3
day,4
location,4
couple,6
possibly,2
bit,4
disappointed,3
helpful,4
night,11
popular,2
great atmosphere,2
live music,5
people,7
highly recommend,3
back,6
home,2
divine,2
good selection,3
scottish salmon,3
promptly,2
meal,5
dinner,9
supposed,2
year,2
long,2
start,3
music,6
fish,4
eat,4
made,4
places,3
whiskey,8
ordered,12
taste,2
recommendation,2
flight,4
heading,2
variety,2
highly recommended,2
finish,2
evenings,2
nice,10
peas,3
decorated,2
wife,3
mash,3
time,5
alright,3
fresh,3
