name,count
chef,2
told,3
met,2
dry,2
kudos,2
suitable,2
brought,3
warm,2
room,2
waiter,4
give,3
amazing,2
order,7
fit,2
expectations,2
bread,2
meat,2
meal,5
forgot,2
wanted,5
ate,3
arrived,4
loud,2
delicious,8
wasn,5
é,2
service,9
seated,7
food arrived,2
don,7
place,11
ravioli edges,2
enjoyed,4
busy,3
menu,5
plate,2
bar,3
steak,3
decided,4
glasgow,3
kitchen,3
asked,4
lovely,3
life,2
kids,3
weren,3
niggles,2
jamie oliver,5
shame,2
make,4
ham,2
night,3
booking,2
sunday night,3
dinner,5
slightly,2
nice touch,3
offer,2
flavour,2
promised,2
trip,2
floor,2
tip,2
felt,4
time,11
managed,2
chain,2
yummy,2
finally,2
bar area,2
choice,2
eating,2
drinks,2
pleased,2
water,2
appears,2
wait,4
brilliant,2
polenta chips,2
love,4
edinburgh,7
assembly rooms,8
talk,2
ended,2
interesting,3
hot,2
main,5
half,2
didn,9
ice cream,3
care,2
couldn,2
cheese,3
2,3
sat,2
interior,2
average,3
mains,2
calamari,2
chillies,2
expectation,2
seat,2
review,2
3,3
disappointment,2
ordered,8
olives,2
attentive,6
sauce,3
middle,3
good,11
check,3
money,2
blow,2
disappointed,5
server,2
nice,5
side,2
start,4
spicy,2
expect,3
taste,2
lack,2
dish,6
fab,2
full,4
experience,2
thankfully,2
glad,2
hour,2
share,3
wouldn,2
evening,2
food,15
heavy,2
fish,2
bland,4
specials,2
drink,5
reason,2
put,4
dine,2
feel,3
jamie,11
luckily,3
kind,2
double,2
find,4
8,2
newly refurb,2
restaurants,3
set,3
wow,3
attention,3
restaurant,10
disappointing,2
decor,4
italy,2
friends,2
location,3
big,2
bit,5
back,12
steak frites,2
run,2
walked,3
friendly,4
wished,2
dessert,4
italian burger,2
waiting,2
chose,2
great,11
visited jamie,2
pasta,7
standing,2
starters,2
&,2
started,2
starter,4
salad,3
prawns,2
mentioned,2
perfect,2
day,2
special,4
recipes,2
quality,2
sadly,4
lot,6
loved,5
visited,2
mix,2
centre,2
slow cooked lamb ravioli,2
face,2
looked,2
atmosphere,2
bring,2
staff,7
eat,3
surroundings,2
meant,2
smoked salmon,2
grab,2
horrible,2
table,17
ve,6
squid,2
thought,3
helpful,2
italian,8
home,2
expected,3
made,4
excitement,2
detail,2
book,3
chance,2
portion,2
