name,count
chain,3
fountain park,3
worth,2
dealing,2
past,2
good things,2
told,2
wait,3
love,2
finally,2
work,2
heard,2
hot,3
edinburgh,3
order,3
smiling,2
till,2
good,6
food,5
filling,2
bone,2
hard,2
tables,2
vegetarians,2
thing,4
place,5
number,2
delicious,4
quality,3
top,2
pre,2
coleslaw,2
efficient,2
super tasty,2
eaten,2
clean,3
chicken,7
staff,4
busy,3
menu,3
chips,4
grilled chicken,3
tender,3
fans,2
won,2
restaurant,3
cob,2
table,5
due,2
sweet potato mash,2
great,3
ve,2
partner,2
things,2
hearty,2
money,2
couple,2
nando,7
bit,4
wings,2
helpful,2
fries,2
served,2
people,2
back,4
sauces,3
quickly,2
corn,2
side,3
wrap,2
impressed,2
happy,2
eat,2
ordered,2
nandos,4
doesn,2
sticky,2
tasty,2
variety,3
nice,3
friends,2
sides,2
opened,2
fresh,2
