name,count
parmesan,2
worth,2
bar area,2
50ml,2
presented,2
good,7
enjoy,3
tempted,2
drinks,3
marked,2
enjoyed,2
shared,2
yelpers,3
standard,2
great,6
full glass,2
experience,2
love,3
wine flights,4
iphone,2
sort,2
glass,5
town,3
great place,3
yum,2
edinburgh,6
delicious appetizers,2
wrong,3
classy,2
wine,10
ended,2
including,3
prosecco,2
ll,4
hidden,2
wouldn,3
evening,2
return,2
food,13
didn,2
found,2
ambiance,2
driving,2
tiramisu,2
red,3
wines,5
george iv bridge,3
region,2
wanted,3
couldn,3
waiter,2
times,6
thing,2
place,7
feel,2
owned,2
delicious,4
wasn,2
alcoves,2
service,7
ordering,3
system,2
wonderful,2
luckily,2
part,2
stairs,2
pre,2
turned,2
sat,2
recommended,2
price,2
don,5
fact,4
selection,2
subtle,2
find,2
staff,3
menu,3
basement level,2
basement,2
bar,5
bars,2
decided,2
full,2
superb,2
3,2
italian sausages,2
suggested,2
restaurant,3
taking,2
vittoria group,2
asked,2
sweet,2
table,6
lovely,2
priced,2
moment,2
finished,2
bruschetta,2
employ,2
desserts,2
italy,2
arrived,2
antipasti,5
thought,3
bottle,2
summer,2
bit,2
sampled,2
family,3
4,3
easy,2
couple,2
dark,2
disappointed,2
cheeses,2
night,4
italian,4
people,2
back,9
divino,5
wine list,2
olives,4
meal,4
waiters,2
offer,4
divino enoteca,5
made,3
places,3
inside,2
ordered,6
doesn,2
tasty,3
home,2
£14,2
nice,4
chocolate,2
friends,6
yelp,2
time,3
