name,count
friendly,4
cook,2
melt,2
told,2
saturday night,2
visit,4
door,2
hold,2
starter,3
room,2
salad,2
give,2
sample,2
pizza,3
edinburgh,2
lot,2
order,2
ll,3
choose,2
main,2
happened,2
good,4
return,2
food,8
lunch,2
half,2
day,3
bread,2
meat,3
didn,3
found,2
fish,4
hard,2
year,2
waiter,2
times,2
feel,2
delicious,2
quality,2
locanda de gusti,4
start,2
tasted,2
red meat,2
interior,2
don,3
place,4
wine,3
fact,2
atmosphere,2
mains,4
chicken,2
calamari,2
staff,3
menu,2
starters,2
seabass,2
wow,2
patrons,2
italian food,3
olives,2
naples,2
bruschetta,2
ve,3
disappointing,2
italy,3
thought,2
bottle,2
bit,3
wall,2
parents,2
gave,2
big,2
world,2
italian,4
back,3
eating,2
balsamic vinegar,2
mouth,2
impressed,2
forward,2
hoped,2
uk,2
taste,4
check,2
tomato sauce,2
nice,4
star,2
felt,2
cooked,3
time,5
