name,count
sashimi,2
told,2
pick,2
options,2
town,2
friendly,3
allowed,2
evidently,2
huge,2
place,5
edinburgh,3
date,2
maki,2
miso,2
salmon hokkaido roll,2
sauce,2
wouldn,2
good,5
food,4
fish,3
opened,2
times,2
wasn,3
service,4
chef,2
note,3
miso soup,2
salmon,2
don,4
koyama,4
staff,2
menu,3
rice,4
local,2
kind,3
restaurant,3
admit,2
table,2
nigiri,3
accommodating,2
ve,6
sushi,7
disappointing,2
make,4
tuna,2
thought,3
read,2
game,2
bit,4
disappointed,2
back,3
worthy,2
rolls,3
spicy,2
eat,2
made,2
uk,2
taste,3
tasty,2
£10,2
nice,2
favourite,2
friends,2
festival menu,2
time,3
