name,count
good selection,2
messy,2
good food,2
cream broth,2
yummy,2
buddy,2
worth,3
big fan,2
friendly,5
cheap,3
choice,2
heaven,2
quick,2
burger,2
enjoy,3
chef,2
good service,2
opted,3
enjoyed,2
white wine,4
scallops,5
disappoint,2
mussels,39
hours,4
5pm,2
wait,2
great,9
options,3
fantastic,2
love,3
great mussels,2
high expectations,3
visit,5
recommend,5
door,2
share,2
glass,6
warm,2
excellent,2
£7,5
starter,2
town,4
salad,2
reviews,2
soup,3
decent lunch,2
give,2
heard,2
years ago,4
impressed,2
dinner,3
amazing,2
edinburgh,14
white crab meat cooked,2
decor,2
remember,2
honestly,2
basket,2
oysters,5
order,3
wine,7
chips,3
ll,2
sauce,4
ideal,2
good,9
return,2
food,6
day,5
bread,8
coriander,2
didn,4
stopped,2
side,2
clams,2
house,2
fish,5
friendly staff,2
gave,2
year,3
pretty good,2
rose st,2
inexpensive,2
days,2
times,2
lunch special,2
thing,2
place,11
fast,2
delicious,7
wasn,4
quality,3
guess,2
service,6
top,2
friend,4
shallot,9
boyfriend,2
kind,2
seated,3
visited,2
mussel pot,2
close,3
sat,3
dishes,3
offer,2
dining,2
price,4
scotland,3
shallots,4
don,7
turnover,2
review,2
pretty quick,2
chowder,5
mussel inn restaurant,2
moroccan,2
fine,2
find,4
staff,3
busy,3
menu,7
nice atmosphere,2
starters,2
spice,2
loved,3
half kilo,3
visit edinburgh,2
delicious mussels,2
seafood chowder,6
bad,2
reasonable prices,2
flavours,2
lots,4
glasgow,3
restaurant,9
good restaurant,2
6,2
table,4
expensive,4
tasted,2
lovely,4
location,3
priced,3
prices,2
main,3
perfection,2
suppose,2
ve,5
make,2
bowl,3
mussel inn,12
lunch,3
good choice,2
half,2
kilo,6
crab pasta,2
character,2
recommended,2
visiting edinburgh,2
easy,2
read,2
big,2
couple,2
dish,2
bit,3
helpful,2
50,2
served,3
people,5
back,7
home,2
seafood restaurant,2
mood,2
centre,2
lime,2
eating,5
found,3
pasta,2
range,2
plenty,2
friends,3
long,3
blue cheese,4
start,2
lot,4
chilli,2
sea bass,2
eat,5
made,4
flavour,2
inside,2
fries,5
bargain,2
seafood,5
ordered,5
taste,3
doesn,2
tasty,6
cream,2
stumbled,3
fresh mussels,2
book,2
smell,2
wife,2
cooked,4
portion,2
time,13
fresh,6
