name,count
yummy,2
worth,4
pork,2
voucher,3
find,3
wait,2
dry,3
morsels,2
visit,2
room,2
salad,2
salty,2
lamb,3
wrong,2
order,2
cuts,4
ll,2
good,3
meat,9
didn,2
meal,2
open,2
honest,2
place,4
service,3
chicken hearts,2
moist,2
overcooked,2
don,3
traditional,2
chicken,2
enjoyed,2
salad bar,3
salad bar isn,2
brazil,2
lots,2
glasgow,2
restaurant,2
sweet,2
table,2
beef,2
zico,3
rib,2
cut,2
back,2
eating,2
night,2
offer,2
eat,2
fries,2
tasty,3
nice,2
favourite,2
time,2
