name,count
mild,4
gluten free pizzas,3
hard pushed,2
worth,3
choice,4
haggis,3
small,2
enjoy,2
eating,2
garlic bread,2
sides,3
crust,2
reminiscent,2
full,2
table,2
great,4
base,6
fantastic,2
love,2
brought,2
armed,2
recommend,2
chicken,2
basically,2
effort,3
town,2
friendly,6
thin,3
heart,2
awesome,2
heard,2
onions,2
gluten free,3
green olives,2
pizza,23
edinburgh,11
stars,2
remember,3
waitress,2
order,5
pizza place,2
years,2
marshmallows,2
1,2
interesting,2
offers,2
choose,4
sauce,5
good,11
combination,2
food,4
walls,3
personally,2
didn,5
found,5
side,3
expect,2
special,2
free,2
put,4
ate,2
times,3
american,2
place,6
feel,2
number,2
quicker,2
delicious,2
wasn,3
quality,2
size,2
service,5
spinach,2
banana,3
option,2
mama,3
part,3
appreciated,2
pre,2
sat,3
offer,2
scotland,2
price,3
don,5
left,3
atmosphere,2
meal,3
find,5
staff,6
menu,7
pretty,2
plate,2
pizza toppings,2
favourite pizza,2
enjoyed,3
lots,3
welcoming,2
kind,3
restaurant,3
grassmarket,9
pop,2
simply,2
olives,3
saturday night,2
peppers,3
bill,2
suppose,2
fun,4
ve,7
experience,2
make,3
goats cheese,2
9,3
ingredients,2
thought,2
mamma,17
nachos,2
generous,2
ham,2
4,2
lacking,2
ruler,2
couple,4
interior,2
bit,3
disappointed,3
sizes,2
server,2
burgers,2
served,4
people,4
back,4
slice,3
night,2
toppings,13
slightly,2
mushrooms,2
3 toppings,2
impressed,2
america,2
beer,2
long,2
start,2
spicy,3
delivery,2
eat,8
made,4
inside,3
uk,2
piece,2
ordered,5
tasty,5
jalapenos,2
medium pizza,2
variety,3
gluten free pizza,3
nice,9
favourite,2
felt,2
pizzas,7
friends,5
time,4
