name,count
enjoyable,2
starter,2
friendly,4
onion rings,3
choice,2
fab,2
specials,3
leith,2
chip shops,2
smaller,2
large party,2
pass,3
run,2
good service,2
calamari,2
told,2
hours,2
wait,3
vinegar,2
great,5
perfectly cooked,2
reason,3
experience,2
starters,3
visit,2
mars bars,2
type,2
sharing,2
door,2
stick,2
excellent,3
glad,2
town,2
salad,2
worth,6
point,2
give,2
confused,2
battered,6
end,3
sit,5
1,2
amazing,4
animal fat,2
yum,2
pizza,2
edinburgh,10
tailend,11
fish platter,2
tomato,2
light,3
waitress,2
order,9
hake,2
mentioned,3
cold,2
perfect,4
ll,2
hot,3
choose,2
good,10
food,6
owned,2
half,2
warned,2
crunchy,2
found,2
meal,9
fish,32
hard,3
idea,2
bowls,2
finish,3
year,2
miss,2
leith walk,2
monkfish,2
pretty good,2
grease,4
large,2
guess,2
chips place,2
wanted,3
greasy,4
area,2
thing,2
american,2
place,15
dine,2
feel,3
delicious,4
wasn,5
thick,2
quality,4
rated,2
service,8
top,3
serve,2
kitchen,2
part,2
anstruther,2
haven,2
10,2
happy,2
scotland,3
moist,2
wanting,2
price,2
famous anstruther fish bar,2
leave,4
regular,2
opted,2
don,10
hungry,2
clean,3
left,6
staff,2
hadn,2
menu,3
expensive,2
means,2
batter,6
frying,2
chips,31
reading,2
bad,2
grilled,3
set,2
flavor,3
haddock,7
mushy peas,7
won,3
tail end,3
ll find,2
sole,2
chip shop,5
restaurant,11
ordered,6
crispy,8
fry,4
location,2
attentive,2
tasty,2
ve,10
pay,3
make,4
split,2
cod,5
hand,2
thought,2
cut,2
4,2
plenty,2
big,2
bit,3
walk,2
crisp,3
50,2
awesome,2
didn,3
back,5
home,3
lard,2
eating,4
takeaway,3
breaded fish,3
breaded,2
side,4
chippie,3
friends,2
lot,3
fish & chips,2
offer,2
made,4
flavour,2
places,2
inside,2
uk,3
fried,4
expect,2
trip,4
cooked,9
nice,3
chippies,3
peas,3
prepared,2
lightly battered,2
chippy,4
portion,2
time,8
fresh,4
platter,2
