name,count
spring rolls,2
dish,2
chef,2
enjoyed,2
great,2
fantastic,2
visit,2
faultless,2
starter,3
town,2
friendly,2
beautiful,2
impressed,2
edinburgh,3
remember,2
takeaway,2
whilst,3
main,6
sauce,2
good,5
food,7
celadon thai,2
quality,2
7,2
thai restaurants,3
ate,2
place,4
delicious,4
service,2
friend,2
thai,2
celadon,4
pre,2
dishes,2
recommended,2
interior,2
staff,3
watching,2
thai restaurant,2
tender,2
bit small,2
sweet,2
expensive,2
theatre menu,2
student,2
back,3
ribs,2
side,2
dinner,2
spicy,2
portion size,2
problem,2
£13,3
nice,2
friends,2
time,3
