name,count
chain,3
dish,3
weather,3
friendly,3
dessert,3
presented,2
die,2
round,3
tiger prawns,2
opted,3
giving,2
nice waiters,2
fish tank,2
great,4
experience,4
love,2
visit,2
live,3
gorgeous,4
share,2
warm,3
95,2
starter,3
town,3
beautiful,4
times,3
lamb,3
end,2
cocktail,2
decor,3
authentic,2
castle,6
remember,2
order,2
castle street,2
glass box,2
perfect,2
amazing,5
main,7
sauce,2
good,7
views,2
food,18
lunch,3
didn,9
lunch menu,2
found,5
meal,5
edinburgh,7
fish,2
ambiance,4
expect,2
moist,2
reason,2
waiter,2
place,10
isn,3
pork,2
delicious,6
wasn,2
bland,2
city,3
service,12
top,2
wonderful,2
ordered,2
friend,2
eyes,2
special occasion,2
stairs,3
mind,2
prawns,2
dishes,2
calamari,2
dining,2
pork belly,3
interior,2
coconut milk,2
don,3
wine,3
atmosphere,2
mains,2
corner,2
chicken,5
find,3
menu,3
eat,2
starters,3
pretty,3
loved,3
thai restaurant,2
shared,2
view,5
staff,7
enjoyed,2
seat,2
decided,3
tender,2
wow,2
3,3
chili,2
comfortable,2
kitchen,2
restaurant,10
fault,4
asked,2
statues,2
sweet,3
pop,2
walk,3
table,5
expensive,2
lovely,2
offered,2
priced,2
finished,2
ambience,3
attentive,6
stunning,3
ve,4
wouldn,2
dumplings,3
thai green curry,2
disappointing,3
slightly,2
mention,2
chaophraya,5
thought,2
person,2
bottle,2
dressed,2
enjoy,3
mix,2
complain,2
location,2
extensive,2
big,2
couple,2
bit,3
served,3
back,7
added,2
fatty,2
thailand,2
curry,3
fantastic,4
son,2
happy,2
prawn,2
spice,2
flavour,2
empty,2
moved,2
tasty,6
balcony,5
variety,2
nice,4
friends,2
meals,3
booked,3
cooked,2
thai food,3
time,5
