name,count
desserts,2
parmesan,2
1930s,2
worth,5
deli,10
difference,2
vast,2
enjoy,2
street,3
eating,3
cheeses,4
sun,2
counters,2
full,2
valvona & crolla,6
ceiling,2
change,2
boy,2
great,3
makes,2
family,2
italians,2
meats,3
&,4
visit,4
recommend,2
type,2
door,2
chocolate,4
town,2
crolla,8
high,2
ready,2
end,3
sit,2
edinburgh,14
wrong,2
types,2
remember,2
wine,3
ll,2
amazing,2
feel,3
coffee,3
good,5
food,6
bought,2
half,2
front,4
day,3
meat,5
special,3
space,2
elm row,2
wines,5
reason,2
shelves,2
times,4
thing,2
place,10
cheese,10
delicious,10
wasn,2
olive oils,2
service,3
top,2
loved,2
bits,2
friend,4
happy,2
breakfast,3
scotland,2
established,2
price,2
don,6
visiting,2
order,2
fact,3
shop,5
corner,2
find,4
busy,2
menu,2
explain,2
deli meats,2
plate,2
beat,2
feels,3
matter,2
wow,2
restaurant,2
olive oil,5
walk,3
table,2
expensive,2
olives,2
caffe bar,2
café,2
pricey,4
ve,5
exterior,2
decor,2
pay,2
italian food,2
lunch,4
spend,2
money,3
love,5
tables,2
easy,2
bread,2
excited,2
real,2
couple,2
bit,2
valvona,8
50,2
steps,2
didn,4
back,5
sunday afternoon,2
home,4
sauces,2
paid,2
pasta,6
range,4
prices,2
year,3
deli counter,2
buy,5
offer,2
true,2
eat,4
ordered,2
taste,4
doesn,2
cafe,7
floor,2
setting,2
nice,2
meaning,2
high prices,2
walked,2
cooked,2
time,3
fresh,3
