name,count
mint choc chip,2
friendly,2
impressive,2
list,2
leave,2
enjoy,6
sunny day,2
wait,3
queue,2
opinion,2
love,5
guacamole,2
personal favourite,2
bru sorbet,3
chocolates,5
visit,5
creamy,2
ground floor,2
door,2
chocolate,11
£3,3
give,2
pleased,2
sit,5
located,2
amazing,6
edinburgh,7
haven,3
coming,2
end,3
morningside,4
varieties,2
find,3
ll,3
choose,2
coffee,3
good,10
food,3
lunch,2
day,2
university,2
didn,5
luca,14
found,2
upstairs,2
ice cream,21
scoops,2
ve found,2
times,4
place,12
childhood,2
irn bru sorbet,2
number,2
delicious,3
wasn,2
service,2
ordering,2
top,2
night,2
needed,3
man,2
lot,2
light bites,2
visited,2
sell,2
sandwiches,3
downstairs,2
irn bru,2
don,6
soups,2
clean,2
ice creams,3
fact,3
shop,5
enjoyed,2
staff,3
busy,5
menu,5
sugar,2
pretty,2
stop,2
mention,2
chips,2
grab,2
flavours,10
decided,2
lots,2
wow,3
nutella,3
won,3
irn,3
bruntsfield,2
perfect,2
tub,3
headed,2
pop,3
walk,2
table,2
treat,2
lovely,2
café,2
pricey,2
vanilla,8
choices,2
ve,4
cone,3
grown,2
open,2
make,7
week,2
lucas,2
sweets,4
tasted,2
reward,2
rest,2
ice cream parlour,2
surprised,2
couple,2
bit,2
disappointed,2
helpful,2
served,4
people,2
sorbet,2
back,3
home,4
slice,2
phenomenal,2
ice,4
favourite,2
paninis,4
slightly,2
road,3
area,2
buy,2
offer,2
musselburgh,3
gorgeous,2
heat,2
true,2
eat,2
flavour,3
ice cream shop,2
strawberry,7
cafe upstairs,2
minutes,3
expect,2
taste,5
doesn,3
tasty,3
cafe,4
cream,6
tesco,2
nice,7
truffles,3
time,10
original,2
