name,count
managed,2
quick bite,2
hate,2
minute,2
half price,5
italian cafe,2
friendly staff,2
small,2
enjoy,3
tea,2
situated,2
water,2
standard,2
pleasant,4
great,2
student discount,2
pasta,2
italians,2
give,3
visit,3
recommend,3
today,2
sort,2
people watching,3
town,3
work,2
friendly,7
soup,2
making,3
caffe lucano,8
sit,3
amazing,2
edinburgh,3
counter,6
things,2
find,3
years,2
ll,3
window,4
coffee,9
good,6
food,6
lunch,2
half,2
found,4
pizza,4
delicious,2
leave,3
george iv bridge,6
times,2
thing,4
place,9
waitress,2
feel,3
thick,2
miss,2
service,7
spinach,3
friend,4
lot,2
haven,2
kind,4
decided,2
sandwiches,4
price,4
don,2
bring,2
staff,7
menu,4
pretty,2
decent coffee,2
milkshakes,2
5 minutes,2
close,2
review,2
cafes,2
asked,2
cakes,7
point,3
table,2
expensive,4
addition,2
lovely,3
finished,2
ve,4
pay,3
make,6
arrived,3
left,2
topping,2
tables,2
day,3
customers,2
big,2
3pm,7
bit,2
disappointed,3
italian,4
didn,4
people,2
back,4
home,3
slice,5
normal,2
afternoon,3
pastries,5
breath,2
homemade,2
offer,3
eat,4
made,2
places,2
cake,2
ordered,3
tasty,3
check,2
coffees,2
nice,5
pizzas,2
time,5
