name,count
good food,2
chain,2
felt,2
clientele,2
haggis,3
burger,2
street,2
drinks,5
waitress,2
find,4
appeal,2
told,4
full,2
lovely place,3
wait,2
great,5
fantastic,4
love,5
pints,2
visit,2
door,3
excellent,4
£3,2
friendly,3
give,2
heard,3
end,2
sit,2
dinner,3
pint,3
edinburgh,5
cute story,2
lot,2
crowded,3
cute,2
écor,2
pointed,3
years,3
drinking,2
group,5
ll,3
dad,2
wouldn,2
good,8
tourist,3
food,13
lunch,3
walls,2
front,2
didn,3
delicious,5
thing,2
space,2
surprise,2
tourist trap,4
guess,2
pub,11
small,3
imagine,2
times,2
chicken,2
place,13
smokers,2
statue,6
feel,2
bars,2
fancy,2
price,2
city,2
story,4
service,5
master,2
tourists,6
part,2
great beer,2
cullen skink,2
visited,4
wandering,3
popped,2
comfortable,2
scotland,2
play,2
plenty,2
grave,2
don,5
average,2
dog,4
order,4
traditional,3
clean,2
fact,4
walking,2
wide range,2
fine,2
staff,4
menu,2
eat,4
great spot,2
chips,6
bar,11
grab,2
whiskies,3
seat,2
decided,2
close,2
locals,2
great pub,2
restaurant,3
neeps,2
pop,4
table,4
expensive,3
atmosphere,3
life,2
families,2
turned,3
prices,5
honest,2
scottish,2
greyfriars bobby,4
weren,3
mates,2
ve,3
quiet,2
decor,3
make,2
check,2
drink,5
pubs,2
moment,2
thought,2
named,2
rest,4
immediately,2
tables,4
death,2
family,2
world,2
bit,4
disappointed,2
bobby,5
night,3
served,2
live music,2
back,2
good selection,2
isn,2
meal,4
range,2
tatties,4
fast,3
area,5
museum,2
fish,3
greyfriar,5
places,4
greyfriars,2
problem,2
ordered,9
ah,2
tasty,2
girlfriend,2
greyfriars bobby statue,3
trip,2
nice,4
walked,2
beers,2
