name,count
dish,2
friendly,2
sitting,2
chicken,2
stockbridge,3
great,4
sabor criollo,2
fajitas,3
guacamole,2
starter,3
heard,2
salsa,2
main,2
good,3
food,4
didn,3
found,2
delicious,2
times,2
place,5
loud,2
wasn,2
service,3
kind,2
dishes,2
drinks,2
latin american restaurant,2
don,3
fine,2
find,2
busy,2
hadn,2
menu,3
sour cream,2
cocktails,2
terms,2
restaurant,2
expensive,2
addition,2
shredded beef,2
ve,4
make,3
nachos,2
£15,2
basement restaurant,2
bit,2
served,2
back,2
lively,2
impressed,2
head,2
ordered,3
nice,3
