name,count
worth,2
haggis,3
cosy,2
find,2
give,2
cafe nom de plume,3
warm,3
friendly,5
edinburgh,2
nom de plume,2
good,3
food,6
day,3
didn,2
broughton street,2
expect,2
vegetarians,2
place,6
waitress,2
delicious,2
wasn,2
service,2
top,2
friend,3
part,2
turned,2
dishes,4
nachos,3
hungry,2
looked,2
selection,2
mince,3
staff,3
menu,4
decided,3
kitchen,2
restaurant,3
good mix,2
attentive,2
chill,2
ve,2
hummus,2
things,3
make,3
customers,2
helpful,3
served,3
back,4
home,2
dinner,2
impressed,3
lot,2
quirky,2
relaxed,2
eat,2
made,2
ordered,2
taste,3
cafe,3
nice,3
felt,2
time,3
