name,count
dish,2
yummy,3
friendly,5
choice,2
asparagus,2
small,2
loads,2
enjoy,5
pork,3
work,3
japanese,2
chef,2
drinks,2
giving,2
enjoyed,2
great,2
brilliant,2
options,2
bento box,2
love,5
sake,2
visit,2
salad,2
recall,2
making,2
share,2
small plates,2
menus,2
option,2
edinburgh,2
cocktail,3
tapas,2
sit,2
order,6
okonomiyaki,2
ll,5
amazing,3
choose,3
sauce,3
good,7
return,3
food,16
lunch,3
handy,2
meat,2
didn,6
found,2
meal,4
hard,3
yummytori,8
wagamama,3
couldn,2
thing,3
place,7
isn,2
waitress,3
feel,2
delicious,5
wasn,3
open,2
service,6
ordering,2
2,3
friend,2
lot,2
mocktail,2
haven,2
chicken skewers,2
mine,3
set menu,2
dishes,9
miso soup,2
price,2
don,4
fact,2
seaweed,2
calamari,3
find,3
staff,6
busy,3
menu,8
bento boxes,3
raw cabbage,2
plate,2
bar,2
morning,2
stuff,2
cocktails,2
decided,3
lots,2
won,2
bought,2
japanese food,3
yummy tori,2
asked,3
nicely presented,2
table,5
itison deal,2
quickly,3
prices,2
attentive,2
dumplings,2
sushi,2
evening,2
make,2
waitresses,2
advise,2
arrived,2
thought,4
love japanese food,2
itison voucher,3
remember,2
day,2
couple,2
bit,2
ve,3
night,2
back,9
expensive,2
cherry blossom margarita,2
chefs,2
edamame,2
great deal,2
dinner,4
road,2
desert,2
nice touch,2
stars,3
happy,2
offer,2
made,4
yakitori,3
ordered,6
tasty,6
£10,2
5,2
nice,3
time,5
garlic fried rice,2
