name,count
leith,2
friendly,3
leave,2
small,2
pork,2
burger,2
drinks,2
shared,2
full,3
wait,2
great,2
beers,2
great place,2
sample,2
place,5
pizza,2
edinburgh,2
friendly service,2
crowded,2
good,5
food,8
meat,2
didn,2
side,2
opened,3
leith walk,5
cheese,2
delicious,3
friend,2
visited,4
eaten,2
corner,2
staff,4
menu,2
meant,2
bar,2
cocktails,5
gay bar,2
quickly,2
beer,2
priced,2
bar staff,2
black fox,6
make,2
burgers,3
couple,3
bit,2
night,3
people,2
back,5
chorizo burger,2
toppings,2
happy,4
eat,3
ordered,2
tasty,5
nice,2
pizzas,3
friends,2
time,5
