name,count
meet friends,2
eggs benedict,3
worth,4
princes street,2
ryan,11
haggis,2
toast,3
great,6
prefer,2
visit,2
recommend,2
people watching,3
excellent,3
town,2
friendly,2
arrive,2
heart,2
give,2
edinburgh,5
crowded,2
find,2
style,2
group,2
ll,3
good place,2
wouldn,3
good,6
food,10
lunch,3
day,3
potatoes,2
didn,3
meal,3
leave,2
pub,2
reason,2
wanted,2
times,3
place,5
service,5
guinness,2
tourists,2
boyfriend,2
kind,2
breakfast,4
sat,2
salmon,2
visitors,2
don,3
looked,2
fact,3
atmosphere,2
enjoyed,5
hadn,2
menu,4
pretty,2
basement,2
bar,11
morning,2
bad,2
open early,2
great selection,2
restaurant,3
point,2
beer,2
personally,2
catch,2
ve,2
evening,4
drink,3
left,3
tip,2
easy,2
early,2
world,2
bit,2
disappointed,3
night,3
served,2
people,3
tvs,2
dinner,4
west end,2
lot,2
hear,2
cellar bar,3
ordered,3
busy,2
nice,2
ryans,2
felt,2
cooked,2
time,5
