name,count
forget,2
dish,2
quick,2
enjoy,2
drinks,2
garlic bread,2
full,2
great,4
experience,2
door,2
excellent,2
95,2
starter,3
huge,3
end,2
amarone,6
speedy,2
edinburgh,4
man,2
tomato,2
order,2
wine,2
ll,2
main,3
good,5
food,8
front,2
didn,4
expect,2
tiramisu,2
red,3
reason,2
couldn,2
thing,2
place,4
waitress,2
service,10
top,2
friend,2
apparently,2
efficient,2
eaten,2
don,3
occasion,2
fact,2
mains,2
enjoyed,5
staff,2
menu,2
steak,2
set,2
decided,2
lots,2
3,2
restaurant,7
point,2
good meal,2
walk,2
likes,2
italian food,3
expensive,2
basil,2
priced,4
attentive,2
ve,4
drink,3
hand,2
thought,3
bottle,3
topped,2
easy,2
big,2
world,2
bit,3
people,2
back,2
home,2
polite,2
friday night,2
pasta,4
dinner,2
stand,2
lot,2
george street,2
made,4
portions,2
2 courses,2
taste,2
doesn,4
tasty,2
penne,2
nice,4
time,3
fresh,2
