name,count
regulars,2
woods,2
friendly,5
stocked,2
sitting,2
fan,2
finger,2
guy,2
dealing,2
chef,2
burger,3
drinks,3
good things,2
told,2
full,2
meh,2
shouldn,2
great,2
polenta chips,2
love,2
visit,2
music,2
sort,2
room,3
tap,4
pints,2
times,2
end,3
edinburgh,2
wrong,2
date,2
light,2
honestly,2
ll,4
window,2
food menu,2
big bar,2
walls,2
day,2
didn,2
meal,2
books,2
opened,3
space,3
leith walk,7
pub,2
put,3
wanted,2
owners,2
honest,3
thing,2
place,7
feel,3
woodland creatures,8
wasn,3
guess,2
service,2
top,3
draft,2
lot,5
serve,2
kind,2
visited,3
dishes,2
victoria,3
plenty,5
don,5
windows,2
looked,3
nice place,3
fresh air,2
fine,2
enjoyed,2
staff,5
busy,2
menu,4
hope,2
balfour bar,3
feels,2
bar,6
places,3
narnia style wardrobe,2
impressions,2
spirits,2
glasgow,2
asked,2
table,2
addition,2
mark,2
breath,2
beer,2
prices,4
weren,2
ve,7
find,2
decor,2
side room,2
open,2
make,3
food,4
week,2
drink,3
wedges,2
summer,2
seats,2
character,2
customers,2
couple,5
dark,2
bit,7
helpful,2
50,2
burgers,2
night,6
seating,4
people,2
back,6
home,2
hipsters,2
serve food,2
dinner,2
mixed,2
road,2
eaten,2
lovely,2
area,2
long,2
head,3
buy,2
offer,2
made,3
problem,2
ordered,2
nice,4
stay,2
booked,2
time,7
