name,count
dessert,4
small,2
french restaurants,2
eaten,2
full,2
wait,2
great,2
&,2
france,2
started,2
charming,2
excellent,2
starter,2
high,2
sample,2
sit,2
crepe,2
order,2
main,3
food,10
lunch,2
bread,2
greens,2
didn,3
courses,3
meal,2
edinburgh,7
special,2
serrano ham,2
times,2
place,6
cheese,2
delicious,3
quality,4
service,5
wrapped,2
haven,2
£10,4
afraid,2
atmosphere,3
staff,2
menu,2
hunter square,2
smoked salmon,2
steak,3
generous portion,2
3,2
restaurant,4
table,2
flavorful,2
good,8
chicken liver,2
decor,3
money,2
rest,2
day,3
couple,2
bit,3
50,3
served,3
price,3
le sept,5
lot,3
happy,2
sea bass,2
2 courses,3
general,2
crepes,3
£12,2
booked,2
